T,Cp,rho,mu,mu_k,k,h
300,1.05677,2000,1,1,2,266003
305,1.05961,2000,1,1,2,271294
310,1.06244,2000,1,1,2,276599
315,1.06525,2000,1,1,2,281918
320,1.06804,2000,1,1,2,287252
325,1.07082,2000,1,1,2,292599
330,1.07358,2000,1,1,2,297960
335,1.07632,2000,1,1,2,303334
340,1.07905,2000,1,1,2,308723
345,1.08177,2000,1,1,2,314125
350,1.08447,2000,1,1,2,319541
355,1.08715,2000,1,1,2,324970
360,1.08982,2000,1,1,2,330412
365,1.09247,2000,1,1,2,335868
370,1.09511,2000,1,1,2,341337
375,1.09774,2000,1,1,2,346819
380,1.10035,2000,1,1,2,352314
385,1.10295,2000,1,1,2,357822
390,1.10554,2000,1,1,2,363344
395,1.10811,2000,1,1,2,368878
400,1.11067,2000,1,1,2,374425
405,1.11321,2000,1,1,2,379984
410,1.11574,2000,1,1,2,385557
415,1.11826,2000,1,1,2,391142
420,1.12077,2000,1,1,2,396739
425,1.12326,2000,1,1,2,402349
430,1.12575,2000,1,1,2,407972
435,1.12822,2000,1,1,2,413607
440,1.13067,2000,1,1,2,419254
445,1.13312,2000,1,1,2,424914
450,1.13555,2000,1,1,2,430585
455,1.13798,2000,1,1,2,436269
460,1.14039,2000,1,1,2,441965
465,1.14279,2000,1,1,2,447673
470,1.14518,2000,1,1,2,453393
475,1.14755,2000,1,1,2,459125
480,1.14992,2000,1,1,2,464868
485,1.15228,2000,1,1,2,470624
490,1.15462,2000,1,1,2,476391
495,1.15696,2000,1,1,2,482170
500,1.15928,2000,1,1,2,487961
505,1.16159,2000,1,1,2,493763
510,1.1639,2000,1,1,2,499577
515,1.16619,2000,1,1,2,505402
520,1.16847,2000,1,1,2,511238
525,1.17075,2000,1,1,2,517086
530,1.17301,2000,1,1,2,522946
535,1.17526,2000,1,1,2,528817
540,1.17751,2000,1,1,2,534698
545,1.17974,2000,1,1,2,540592
550,1.18197,2000,1,1,2,546496
555,1.18418,2000,1,1,2,552411
560,1.18639,2000,1,1,2,558338
565,1.18859,2000,1,1,2,564275
570,1.19078,2000,1,1,2,570224
575,1.19296,2000,1,1,2,576183
580,1.19513,2000,1,1,2,582153
585,1.19729,2000,1,1,2,588134
590,1.19944,2000,1,1,2,594126
595,1.20159,2000,1,1,2,600129
600,1.20372,2000,1,1,2,606142
605,1.20585,2000,1,1,2,612166
610,1.20797,2000,1,1,2,618200
615,1.21008,2000,1,1,2,624246
620,1.21219,2000,1,1,2,630301
625,1.21428,2000,1,1,2,636367
630,1.21637,2000,1,1,2,642444
635,1.21845,2000,1,1,2,648531
640,1.22052,2000,1,1,2,654628
645,1.22258,2000,1,1,2,660736
650,1.22464,2000,1,1,2,666854
655,1.22668,2000,1,1,2,672983
660,1.22872,2000,1,1,2,679121
665,1.23076,2000,1,1,2,685270
670,1.23278,2000,1,1,2,691429
675,1.2348,2000,1,1,2,697598
680,1.23681,2000,1,1,2,703777
685,1.23881,2000,1,1,2,709966
690,1.24081,2000,1,1,2,716165
695,1.2428,2000,1,1,2,722374
700,1.24478,2000,1,1,2,728593
705,1.24675,2000,1,1,2,734822
710,1.24872,2000,1,1,2,741060
715,1.25068,2000,1,1,2,747309
720,1.25264,2000,1,1,2,753567
725,1.25458,2000,1,1,2,759835
730,1.25652,2000,1,1,2,766113
735,1.25846,2000,1,1,2,772400
740,1.26038,2000,1,1,2,778697
745,1.26231,2000,1,1,2,785004
750,1.26422,2000,1,1,2,791320
755,1.26613,2000,1,1,2,797646
760,1.26803,2000,1,1,2,803982
765,1.26992,2000,1,1,2,810327
770,1.27181,2000,1,1,2,816681
775,1.27369,2000,1,1,2,823045
780,1.27557,2000,1,1,2,829418
785,1.27744,2000,1,1,2,835800
790,1.2793,2000,1,1,2,842192
795,1.28116,2000,1,1,2,848593
800,1.28301,2000,1,1,2,855004
805,1.28486,2000,1,1,2,861424
810,1.2867,2000,1,1,2,867852
815,1.28853,2000,1,1,2,874291
820,1.29036,2000,1,1,2,880738
825,1.29219,2000,1,1,2,887194
830,1.294,2000,1,1,2,893660
835,1.29581,2000,1,1,2,900134
840,1.29762,2000,1,1,2,906618
845,1.29942,2000,1,1,2,913110
850,1.30121,2000,1,1,2,919612
855,1.303,2000,1,1,2,926122
860,1.30479,2000,1,1,2,932642
865,1.30656,2000,1,1,2,939170
870,1.30834,2000,1,1,2,945708
875,1.3101,2000,1,1,2,952254
880,1.31187,2000,1,1,2,958809
885,1.31362,2000,1,1,2,965372
890,1.31537,2000,1,1,2,971945
895,1.31712,2000,1,1,2,978526
900,1.31886,2000,1,1,2,985116
905,1.3206,2000,1,1,2,991715
910,1.32233,2000,1,1,2,998322
915,1.32405,2000,1,1,2,1004940
920,1.32578,2000,1,1,2,1011560
925,1.32749,2000,1,1,2,1018200
930,1.3292,2000,1,1,2,1024840
935,1.33091,2000,1,1,2,1031490
940,1.33261,2000,1,1,2,1038150
945,1.33431,2000,1,1,2,1044810
950,1.336,2000,1,1,2,1051490
955,1.33768,2000,1,1,2,1058170
960,1.33937,2000,1,1,2,1064870
965,1.34104,2000,1,1,2,1071570
970,1.34272,2000,1,1,2,1078280
975,1.34438,2000,1,1,2,1084990
980,1.34605,2000,1,1,2,1091720
985,1.34771,2000,1,1,2,1098460
990,1.34936,2000,1,1,2,1105200
995,1.35101,2000,1,1,2,1111950
1000,1.35266,2000,1,1,2,1118710
1005,1.3543,2000,1,1,2,1125480
1010,1.35593,2000,1,1,2,1132250
1015,1.35757,2000,1,1,2,1139030
1020,1.35919,2000,1,1,2,1145830
1025,1.36082,2000,1,1,2,1152630
1030,1.36244,2000,1,1,2,1159430
1035,1.36405,2000,1,1,2,1166250
1040,1.36566,2000,1,1,2,1173080
1045,1.36727,2000,1,1,2,1179910
1050,1.36887,2000,1,1,2,1186750
1055,1.37047,2000,1,1,2,1193600
1060,1.37206,2000,1,1,2,1200450
1065,1.37365,2000,1,1,2,1207320
1070,1.37524,2000,1,1,2,1214190
1075,1.37682,2000,1,1,2,1221070
1080,1.37839,2000,1,1,2,1227960
1085,1.37997,2000,1,1,2,1234850
1090,1.38154,2000,1,1,2,1241760
1095,1.3831,2000,1,1,2,1248670
1100,1.38466,2000,1,1,2,1255590
1105,1.38622,2000,1,1,2,1262510
1110,1.38778,2000,1,1,2,1269450
1115,1.38932,2000,1,1,2,1276390
1120,1.39087,2000,1,1,2,1283340
1125,1.39241,2000,1,1,2,1290300
1130,1.39395,2000,1,1,2,1297270
1135,1.39549,2000,1,1,2,1304240
1140,1.39702,2000,1,1,2,1311220
1145,1.39854,2000,1,1,2,1318210
