Temp,Cp,Density,Viscosity,Kinematic Viscosity,Thermal Conductivity,Enthalpy
400,1.1101454545,1734.6222222222,0.0042500388,2.4503341098026E-06,0.4989580439,16651.8303030944
401,1.1096957273,1734.0435555556,0.0042387907,2.44464589812368E-06,0.4984765965,17761.7127849115
402,1.1092460087,1733.4648888889,0.0042275978,0.000002439,0.4979960354,18871.1468883737
403,1.1087962987,1732.8862222222,0.0042164599,2.43335525044061E-06,0.4975163733,19980.132613481
404,1.1083465974,1732.3075555556,0.0042053766,2.42775253778443E-06,0.4970376227,21088.6699602331
405,1.1078969048,1731.7288888889,0.0041943478,2.42217804885909E-06,0.4965597962,22196.7589286303
406,1.1074472208,1731.1502222222,0.0041833732,2.41663164640151E-06,0.4960829059,23304.3995186726
407,1.1069975455,1730.5715555556,0.0041724525,2.41111319357379E-06,0.4956069639,24411.59173036
408,1.1065478788,1729.9928888889,0.0041615854,2.40562255396321E-06,0.4951319823,25518.3355636923
409,1.1060982208,1729.4142222222,0.0041507717,2.4001595915822E-06,0.4946579729,26624.6310186697
410,1.1056485714,1728.8355555556,0.0041400112,2.3947241708684E-06,0.4941849472,27730.4780952921
411,1.1051989307,1728.2568888889,0.0041293036,2.3893161566846E-06,0.493712917,28835.8767935594
412,1.1047492987,1727.6782222222,0.0041186485,2.38393541431875E-06,0.4932418935,29940.8271134719
413,1.1042996753,1727.0995555556,0.0041080459,2.37858180948403E-06,0.4927718881,31045.3290550294
414,1.1038500606,1726.5208888889,0.0040974953,2.37325520831876E-06,0.4923029117,32149.3826182319
415,1.1034004545,1725.9422222222,0.0040869967,0.000002368,0.4918349754,33252.9878030794
416,1.1029508571,1725.3635555556,0.0040765496,2.36268248367565E-06,0.4913680901,34356.144609572
417,1.1025012684,1724.7848888889,0.0040661539,2.35743609460035E-06,0.4909022663,35458.8530377096
418,1.1020516883,1724.2062222222,0.0040558093,2.35221617799951E-06,0.4904375147,36561.1130874921
419,1.1016021169,1723.6275555556,0.0040455155,0.000002347,0.4899738456,37662.9247589197
420,1.1011525541,1723.0488888889,0.0040352723,2.34185523570322E-06,0.4895112693,38764.2880519924
421,1.100703,1722.4702222222,0.0040250795,2.33671394781165E-06,0.489049796,39865.2029667101
422,1.1002534545,1721.8915555556,0.0040149368,2.33159860800237E-06,0.4885894356,40965.6695030728
423,1.0998039177,1721.3128888889,0.0040048439,2.32650908624029E-06,0.488130198,42065.6876610806
424,1.0993543896,1720.7342222222,0.0039948007,2.32144525291546E-06,0.487672093,43165.2574407333
425,1.0989048701,1720.1555555556,0.0039848068,2.31640697884314E-06,0.48721513,44264.3788420311
426,1.0984553593,1719.5768888889,0.003974862,2.31139413526373E-06,0.4867593186,45363.0518649739
427,1.0980058571,1718.9982222222,0.0039649661,2.30640659384281E-06,0.4863046682,46461.2765095617
428,1.0975563636,1718.4195555556,0.0039551188,2.30144422667119E-06,0.4858511878,47559.0527757946
429,1.0971068788,1717.8408888889,0.0039453199,2.29650690626478E-06,0.4853988866,48656.3806636725
430,1.0966574026,1717.2622222222,0.0039355691,2.29159450556472E-06,0.4849477734,49753.2601731954
431,1.0962079351,1716.6835555556,0.0039258663,2.28670689793728E-06,0.4844978572,50849.6913043634
432,1.0957584762,1716.1048888889,0.003916211,2.28184395717392E-06,0.4840491465,51945.6740571764
433,1.095309026,1715.5262222222,0.0039066032,0.000002277,0.4836016499,53041.2084316343
434,1.0948595844,1714.9475555556,0.0038970426,2.27219157353123E-06,0.4831553758,54136.2944277374
435,1.0944101515,1714.3688888889,0.0038875289,2.26740188036071E-06,0.4827103326,55230.9320454854
436,1.0939607273,1713.7902222222,0.0038780619,2.2626363534719E-06,0.4822665283,56325.1212848785
437,1.0935113117,1713.2115555556,0.0038686414,2.25789486878212E-06,0.4818239711,57418.8621459166
438,1.0930619048,1712.6328888889,0.003859267,2.2531773026339E-06,0.4813826688,58512.1546285998
439,1.0926125065,1712.0542222222,0.0038499387,2.24848353179493E-06,0.4809426292,59604.998732928
440,1.0921631169,1711.4755555556,0.0038406561,2.24381343345809E-06,0.48050386,60697.3944589011
441,1.0917137359,1710.8968888889,0.0038314191,2.23916688524139E-06,0.4800663688,61789.3418065193
442,1.0912643636,1710.3182222222,0.0038222273,2.23454376518806E-06,0.4796301629,62880.8407757826
443,1.090815,1709.7395555556,0.0038130805,2.22994395176649E-06,0.4791952497,63971.8913666909
444,1.090365645,1709.1608888889,0.0038039786,2.22536732387022E-06,0.4787616364,65062.4935792442
445,1.0899162987,1708.5822222222,0.0037949213,2.22081376081804E-06,0.4783293299,66152.6474134425
446,1.089466961,1708.0035555556,0.0037859083,2.21628314235382E-06,0.4778983374,67242.3528692859
447,1.089017632,1707.4248888889,0.0037769394,2.21177534864665E-06,0.4774686656,68331.6099467742
448,1.0885683117,1706.8462222222,0.0037680144,2.20729026029078E-06,0.4770403211,69420.4186459076
449,1.088119,1706.2675555556,0.0037591331,2.20282775830568E-06,0.4766133107,70508.778966686
450,1.087669697,1705.6888888889,0.0037502953,2.19838772413596E-06,0.4761876407,71596.6909091095
451,1.0872204026,1705.1102222222,0.0037415006,0.000002194,0.4757633176,72684.154473178
452,1.0867711169,1704.5315555556,0.0037327489,2.18957458714694E-06,0.4753403476,73771.1696588915
453,1.0863218398,1703.9528888889,0.00372404,2.18520124934273E-06,0.4749187368,74857.7364662501
454,1.0858725714,1703.3742222222,0.0037153736,2.18084990938408E-06,0.4744984913,75943.8548952536
455,1.0854233117,1702.7955555556,0.0037067495,2.17652045084149E-06,0.474079617,77029.5249459021
456,1.0849740606,1702.2168888889,0.0036981676,2.1722127577106E-06,0.4736621196,78114.7466181958
457,1.0845248182,1701.6382222222,0.0036896274,2.16792671441226E-06,0.4732460049,79199.5199121344
458,1.0840755844,1701.0595555556,0.0036811289,2.16366220579248E-06,0.4728312785,80283.8448277181
459,1.0836263593,1700.4808888889,0.0036726719,2.15941911712241E-06,0.4724179457,81367.7213649468
460,1.0831771429,1699.9022222222,0.003664256,2.15519733409846E-06,0.4720060121,82451.1495238205
461,1.0827279351,1699.3235555556,0.0036558811,0.000002151,0.4715954828,83534.1293043393
462,1.0822787359,1698.7448888889,0.003647547,2.14681722990015E-06,0.471186363,84616.660706503
463,1.0818295455,1698.1662222222,0.0036392534,2.14265868224438E-06,0.4707786577,85698.7437303118
464,1.0813803636,1697.5875555556,0.0036310001,2.13852098727188E-06,0.4703723719,86780.3783757657
465,1.0809311905,1697.0088888889,0.003622787,2.13440403280492E-06,0.4699675104,87861.5646428645
466,1.080482026,1696.4302222222,0.0036146137,2.13030770709087E-06,0.4695640779,88942.3025316084
467,1.0800328701,1695.8515555556,0.0036064801,2.12623189880233E-06,0.4691620791,90022.5920419974
468,1.0795837229,1695.2728888889,0.003598386,2.12217649703705E-06,0.4687615185,91102.4331740313
469,1.0791345844,1694.6942222222,0.0035903311,2.11814139131794E-06,0.4683624005,92181.8259277103
470,1.0786854545,1694.1155555556,0.0035823153,2.11412647159315E-06,0.4679647295,93260.7703030343
471,1.0782363333,1693.5368888889,0.0035743383,2.11013162823594E-06,0.4675685096,94339.2663000032
472,1.0777872208,1692.9582222222,0.0035663999,2.10615675204478E-06,0.467173745,95417.3139186174
473,1.0773381169,1692.3795555556,0.0035584999,2.10220173424328E-06,0.4667804397,96494.9131588764
474,1.0768890216,1691.8008888889,0.0035506381,2.09826646648022E-06,0.4663885976,97572.0640207804
475,1.0764399351,1691.2222222222,0.0035428143,2.09435084082966E-06,0.4659982226,98648.7665043296
476,1.0759908571,1690.6435555556,0.0035350282,2.09045474979069E-06,0.4656093184,99725.0206095237
477,1.0755417879,1690.0648888889,0.0035272797,2.08657808628766E-06,0.4652218886,100800.826336363
478,1.0750927273,1689.4862222222,0.0035195686,2.08272074367008E-06,0.4648359368,101876.183684847
479,1.0746436753,1688.9075555556,0.0035118946,2.07888261571262E-06,0.4644514664,102951.092654976
480,1.074194632,1688.3288888889,0.0035042576,2.07506359661513E-06,0.4640684808,104025.553246751
481,1.0737455974,1687.7502222222,0.0034966573,2.07126358100264E-06,0.4636869833,105099.56546017
482,1.0732965714,1687.1715555556,0.0034890936,2.06748246392538E-06,0.4633069769,106173.129295234
