# T_int(K),TSod_metal_u1.0(K),fluxSod_u1.0(W/(m^2.K)),TSod_metal_u2.0(K),fluxSod_u2.0(W/(m^2.K)),TSod_metal_u3.0(K),fluxSod_u3.0(W/(m^2.K)),TSod_metal_u4.0(K),fluxSod_u4.0(W/(m^2.K))
5.631499999999999773e+02,8.263006150006078769e+02,2.004145902126061264e+06,8.221871198313156128e+02,2.231532690253338777e+06,8.192316210170550903e+02,2.381444529190155677e+06,8.169719753896656584e+02,2.489877941457069013e+06
5.881499999999999773e+02,8.422623587629085478e+02,1.923362478888734011e+06,8.391922157621298766e+02,2.152285175054107327e+06,8.369639691835529902e+02,2.304747430041802581e+06,8.352485910899436021e+02,2.415846020966836717e+06
6.131499999999999773e+02,8.541138260794857615e+02,1.813153990107610589e+06,8.522499898801565905e+02,2.040623763508904725e+06,8.508807212694704276e+02,2.193954377864673268e+06,8.498178244914039396e+02,2.306681768138280138e+06
6.381499999999999773e+02,8.635673591014638077e+02,1.686935687793896999e+06,8.618424055108429229e+02,1.901203842168572126e+06,8.605686981825760995e+02,2.045790257006817497e+06,8.595770973612337684e+02,2.152166750905904919e+06
6.631499999999999773e+02,8.734485866058624879e+02,1.565957612079299754e+06,8.717553511352867872e+02,1.766357808413415914e+06,8.704989396835887874e+02,1.901549062831898686e+06,8.695182936926054253e+02,2.000986412730411859e+06
6.881499999999999773e+02,8.834868455384997787e+02,1.448135391768422211e+06,8.819405007507452865e+02,1.635609740576333366e+06,8.807852337886495206e+02,1.762208922978947870e+06,8.798801640807582771e+02,1.855390746504298644e+06
7.131499999999999773e+02,8.941144257020634996e+02,1.336560729934367584e+06,8.926254418176787340e+02,1.510785519228567369e+06,8.915050454386530419e+02,1.628398901339703705e+06,8.906241089177569847e+02,1.714939864194402006e+06
7.381499999999999773e+02,9.050443527636083445e+02,1.229034716980519006e+06,9.035942633360517675e+02,1.390002786736264592e+06,9.024938261057127420e+02,1.498561642705128528e+06,9.016250183917585446e+02,1.578376860157808987e+06
7.631499999999999773e+02,9.165369806612662842e+02,1.127348217358981259e+06,9.152489887449754633e+02,1.276498424594861222e+06,9.142595760751131593e+02,1.377179220255701337e+06,9.134735880219126329e+02,1.451248094678043621e+06
7.881499999999999773e+02,9.287133287022406876e+02,1.032247778052129666e+06,9.275008145312190209e+02,1.169425667744975071e+06,9.265560774093673899e+02,1.261940228574132547e+06,9.258005772098919124e+02,1.329949794673242839e+06
8.131499999999999773e+02,9.412501380644242772e+02,9.413134085354986601e+05,9.401566683916385045e+02,1.067108383997552097e+06,9.392879391756431460e+02,1.151911323642380536e+06,9.385869480580964819e+02,1.214228175318981055e+06
8.381499999999999773e+02,9.541451241074868221e+02,8.544473847058246611e+05,9.531830588966663527e+02,9.691964720880043460e+05,9.524309510654586575e+02,1.046803716688290122e+06,9.518191391839362723e+02,1.103885027170121437e+06
