0,1,2,3,4
773.15,1352806.25807928,1612547.1709379,1793473.37697749,1929572.1391022
798.15,1230027.12628507,1468084.55435798,1633882.11391835,1758972.09719029
823.15,1112592.6770153,1330386.13986105,1482253.60935531,1596566.22213336
848.15,997205.024776521,1194618.61229152,1332435.3516569,1436257.28439037
873.15,887367.931838822,1064285.31645644,1187727.08572821,1280672.07065979
898.15,781176.418739882,938651.463189063,1048644.52836407,1131527.26722737
923.15,678095.257753177,815680.144777774,911702.258049262,984002.745809275
948.15,581241.163207131,700462.330025045,783749.046260011,846504.680757524
973.15,485972.700320136,586728.033986559,657181.425748985,710302.185140684
998.15,392866.15033775,475148.105966309,532723.556791686,576154.864053477
1023.15,301253.376825884,365016.200351794,409670.581711759,443374.946412236
