0,1,2,3,4
773.15,1271560.26497121,1548916.64850819,1741267.78893471,1885482.4510006
798.15,1156070.51906089,1410116.77218465,1586296.12056191,1718576.04640324
823.15,1045476.41410525,1277663.24889257,1438902.24555019,1559889.71585485
848.15,936866.337482033,1147116.3925541,1293313.85244177,1403116.88579589
873.15,833669.473670886,1021994.36112258,1152889.36211554,1251153.88706506
898.15,733780.462125215,901246.691973125,1017784.98052625,1105347.59529725
923.15,636977.22369642,783226.663604604,884926.094246681,961287.599805445
948.15,545920.629693593,672528.019627479,760667.707567165,826900.97399794
973.15,456383.514501253,563281.617679445,637780.753196824,693804.62926878
998.15,368913.052921525,456136.084074275,516972.442230705,562747.453167589
1023.15,282859.407751646,350388.546831013,397535.289549879,433034.237672106
