T,Cp,rho,mu,mu_k,k,h
250,1.32559,891.796,0.000388248,4.35355E-07,78.5494,307758
251,1.32525,891.571,0.000387167,4.34253E-07,78.4836,309084
252,1.32491,891.346,0.000386094,4.33158E-07,78.418,310409
253,1.32457,891.121,0.000385026,4.32069E-07,78.3524,311733
254,1.32423,890.896,0.000383965,0.000000431,78.2869,313058
255,1.3239,890.671,0.000382911,4.29913E-07,78.2215,314382
256,1.32356,890.446,0.000381863,4.28844E-07,78.1562,315706
257,1.32322,890.221,0.000380821,4.27782E-07,78.0909,317029
258,1.32289,889.996,0.000379785,4.26727E-07,78.0257,318352
259,1.32256,889.771,0.000378755,4.25677E-07,77.9606,319675
260,1.32222,889.546,0.000377732,4.24635E-07,77.8955,320997
261,1.32189,889.321,0.000376715,4.23598E-07,77.8305,322319
262,1.32156,889.096,0.000375703,4.22568E-07,77.7656,323641
263,1.32122,888.87,0.000374698,4.21544E-07,77.7008,324962
264,1.32089,888.645,0.000373698,4.20526E-07,77.636,326283
265,1.32056,888.42,0.000372705,4.19514E-07,77.5713,327604
266,1.32023,888.195,0.000371717,4.18508E-07,77.5067,328924
267,1.3199,887.969,0.000370735,4.17509E-07,77.4421,330245
268,1.31958,887.744,0.000369758,4.16515E-07,77.3777,331564
269,1.31925,887.519,0.000368788,4.15527E-07,77.3132,332884
270,1.31892,887.293,0.000367823,4.14545E-07,77.2489,334203
271,1.31859,887.068,0.000366863,4.13568E-07,77.1847,335522
272,1.31827,886.842,0.000365909,4.12598E-07,77.1205,336840
273,1.31794,886.617,0.000364961,4.11633E-07,77.0563,338158
274,1.31762,886.391,0.000364018,4.10674E-07,76.9923,339476
275,1.3173,886.166,0.00036308,4.0972E-07,76.9283,340793
276,1.31697,885.94,0.000362147,4.08772E-07,76.8644,342110
277,1.31665,885.715,0.00036122,4.07829E-07,76.8006,343427
278,1.31633,885.489,0.000360299,4.06892E-07,76.7368,344744
279,1.31601,885.263,0.000359382,0.000000406,76.6731,346060
280,1.31569,885.038,0.00035847,0.000000405,76.6095,347376
281,1.31537,884.812,0.000357564,4.04113E-07,76.546,348691
282,1.31505,884.586,0.000356663,4.03198E-07,76.4825,350006
283,1.31473,884.36,0.000355767,4.02287E-07,76.4191,351321
284,1.31441,884.135,0.000354876,4.01382E-07,76.3557,352636
285,1.3141,883.909,0.000353989,4.00482E-07,76.2925,353950
286,1.31378,883.683,0.000353108,3.99587E-07,76.2293,355264
287,1.31347,883.457,0.000352232,3.98697E-07,76.1662,356578
288,1.31315,883.231,0.00035136,3.97812E-07,76.1031,357891
289,1.31284,883.005,0.000350493,3.96932E-07,76.0401,359204
290,1.31253,882.779,0.000349631,3.96058E-07,75.9772,360517
291,1.31221,882.553,0.000348774,3.95188E-07,75.9144,361829
292,1.3119,882.327,0.000347922,3.94323E-07,75.8516,363141
293,1.31159,882.101,0.000347074,3.93463E-07,75.7889,364453
294,1.31128,881.875,0.00034623,3.92607E-07,75.7263,365764
295,1.31097,881.649,0.000345392,3.91757E-07,75.6637,367075
296,1.31066,881.422,0.000344557,3.90911E-07,75.6012,368386
297,1.31035,881.196,0.000343728,3.9007E-07,75.5388,369697
298,1.31005,880.97,0.000342903,3.89233E-07,75.4765,371007
299,1.30974,880.744,0.000342082,3.88401E-07,75.4142,372317
300,1.30943,880.517,0.000341266,3.87574E-07,75.352,373626
301,1.30913,880.291,0.000340454,3.86751E-07,75.2898,374936
302,1.30882,880.065,0.000339646,3.85933E-07,75.2278,376245
303,1.30852,879.838,0.000338843,3.85119E-07,75.1658,377553
304,1.30822,879.612,0.000338044,3.8431E-07,75.1038,378862
305,1.30792,879.385,0.000337249,3.83505E-07,75.042,380170
306,1.30761,879.159,0.000336458,3.82705E-07,74.9802,381478
307,1.30731,878.932,0.000335672,3.81908E-07,74.9185,382785
308,1.30701,878.706,0.000334889,3.81117E-07,74.8568,384092
309,1.30671,878.479,0.000334111,3.80329E-07,74.7952,385399
310,1.30641,878.253,0.000333337,3.79546E-07,74.7337,386706
311,1.30612,878.026,0.000332567,3.78767E-07,74.6723,388012
312,1.30582,877.799,0.000331801,0.000000378,74.6109,389318
313,1.30552,877.573,0.000331039,3.77221E-07,74.5496,390624
314,1.30523,877.346,0.000330281,3.76455E-07,74.4883,391929
315,1.30493,877.119,0.000329527,3.75692E-07,74.4272,393234
316,1.30464,876.893,0.000328777,3.74934E-07,74.3661,394539
317,1.30435,876.666,0.00032803,3.74179E-07,74.305,395843
318,1.30405,876.439,0.000327288,3.73429E-07,74.2441,397148
319,1.30376,876.212,0.000326549,3.72683E-07,74.1832,398451
320,1.30347,875.985,0.000325814,3.7194E-07,74.1223,399755
321,1.30318,875.758,0.000325083,3.71202E-07,74.0616,401058
322,1.30289,875.531,0.000324355,3.70467E-07,74.0009,402361
323,1.3026,875.304,0.000323632,3.69736E-07,73.9403,403664
324,1.30231,875.077,0.000322911,0.000000369,73.8797,404967
325,1.30202,874.85,0.000322195,3.68286E-07,73.8192,406269
326,1.30174,874.623,0.000321482,3.67566E-07,73.7588,407571
327,1.30145,874.396,0.000320773,3.66851E-07,73.6984,408872
328,1.30117,874.169,0.000320067,3.66139E-07,73.6382,410174
329,1.30088,873.942,0.000319365,3.65431E-07,73.5779,411475
330,1.3006,873.714,0.000318666,3.64726E-07,73.5178,412775
331,1.30032,873.487,0.000317971,0.000000364,73.4577,414076
332,1.30003,873.26,0.00031728,3.63328E-07,73.3977,415376
333,1.29975,873.033,0.000316591,3.62634E-07,73.3377,416676
334,1.29947,872.805,0.000315906,3.61944E-07,73.2779,417975
335,1.29919,872.578,0.000315225,3.61257E-07,73.2181,419275
336,1.29891,872.35,0.000314547,3.60574E-07,73.1583,420574
337,1.29863,872.123,0.000313872,3.59894E-07,73.0986,421873
338,1.29836,871.896,0.000313201,3.59218E-07,73.039,423171
339,1.29808,871.668,0.000312533,3.58546E-07,72.9795,424469
340,1.2978,871.441,0.000311868,3.57876E-07,72.92,425767
341,1.29753,871.213,0.000311206,3.5721E-07,72.8606,427065
342,1.29725,870.985,0.000310548,3.56548E-07,72.8013,428362
343,1.29698,870.758,0.000309893,3.55888E-07,72.742,429659
344,1.29671,870.53,0.000309241,3.55233E-07,72.6828,430956
345,1.29643,870.303,0.000308592,3.5458E-07,72.6236,432253
346,1.29616,870.075,0.000307946,3.53931E-07,72.5646,433549
347,1.29589,869.847,0.000307303,3.53284E-07,72.5055,434845
