P_net,T_in_ref_blk,p_high,PR,pinch_PHX,dTemp_HTF_PHX,load,T_HTF_in,T_amb_input,eta_gross,eta_Q,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1023.150000,308.150000,0.449878,0.798883,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1024.272449,308.150000,0.450069,0.803703,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1025.394898,308.150000,0.450369,0.808425,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1026.517347,308.150000,0.450464,0.813349,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1027.639796,308.150000,0.450679,0.818377,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1028.762245,308.150000,0.450832,0.823100,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1029.884694,308.150000,0.450860,0.827775,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1031.007143,308.150000,0.450919,0.833126,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1032.129592,308.150000,0.451336,0.837962,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1033.252041,308.150000,0.451506,0.842850,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1034.374490,308.150000,0.451858,0.847175,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1035.496939,308.150000,0.452058,0.851889,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1036.619388,308.150000,0.452311,0.856265,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1037.741837,308.150000,0.452449,0.860986,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1038.864286,308.150000,0.452701,0.865474,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1039.986735,308.150000,0.453099,0.866635,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1041.109184,308.150000,0.453253,0.871553,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1042.231633,308.150000,0.453335,0.874507,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1043.354082,308.150000,0.453558,0.879086,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1044.476531,308.150000,0.454097,0.884999,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1045.598980,308.150000,0.453932,0.888326,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1046.721429,308.150000,0.454370,0.894084,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1047.843878,308.150000,0.454601,0.898559,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1048.966327,308.150000,0.454563,0.903380,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1050.088776,308.150000,0.454787,0.907648,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1051.211224,308.150000,0.454882,0.912187,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1052.333673,308.150000,0.455094,0.916653,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1053.456122,308.150000,0.455052,0.921220,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1054.578571,308.150000,0.455153,0.925797,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1055.701020,308.150000,0.455463,0.930373,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1056.823469,308.150000,0.455525,0.934903,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1057.945918,308.150000,0.455580,0.939419,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1059.068367,308.150000,0.455664,0.943436,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1060.190816,308.150000,0.455626,0.948090,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1061.313265,308.150000,0.455667,0.952738,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1062.435714,308.150000,0.455665,0.957219,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1063.558163,308.150000,0.455494,0.961501,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1064.680612,308.150000,0.455225,0.968959,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1065.803061,308.150000,0.455508,0.973163,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1066.925510,308.150000,0.455606,0.977754,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1068.047959,308.150000,0.455634,0.981588,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1069.170408,308.150000,0.455708,0.985992,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1070.292857,308.150000,0.455435,0.990172,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1071.415306,308.150000,0.455543,0.993936,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1072.537755,308.150000,0.455586,0.997928,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1073.660204,308.150000,0.455800,0.998254,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1074.782653,308.150000,0.456292,0.999666,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1075.905102,308.150000,0.459435,0.977525,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1077.027551,308.150000,0.456861,1.000912,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1078.150000,308.150000,0.457581,1.001208,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.450000,1073.150000,308.150000,0.412403,0.450146,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.466327,1073.150000,308.150000,0.414690,0.466175,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.482653,1073.150000,308.150000,0.419969,0.482396,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.498980,1073.150000,308.150000,0.423130,0.499763,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.515306,1073.150000,308.150000,0.426327,0.515905,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.531633,1073.150000,308.150000,0.429319,0.531943,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.547959,1073.150000,308.150000,0.432115,0.548094,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.564286,1073.150000,308.150000,0.434542,0.564395,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.580612,1073.150000,308.150000,0.436375,0.582334,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.596939,1073.150000,308.150000,0.439068,0.595841,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.613265,1073.150000,308.150000,0.441029,0.613262,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.629592,1073.150000,308.150000,0.442763,0.629626,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.645918,1073.150000,308.150000,0.442730,0.646203,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.662245,1073.150000,308.150000,0.444170,0.662718,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.678571,1073.150000,308.150000,0.445793,0.680816,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.694898,1073.150000,308.150000,0.446691,0.696348,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.711224,1073.150000,308.150000,0.447417,0.712817,
277777777.777778,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.727551,1073.150000,308.150000,0.449790,0.727630,
