time,GHI,DNI,DHI,T_dry,T_dew,RH,pres,wspd,wdir,albedo
0,0.0,0.0,0.0,17.6,0.0,13.0,94.7,2.0,7.0,-9900
3600,0.0,0.0,0.0,17.3,0.0,12.600000000000001,94.60000000000001,1.8,7.0,-9900
7200,0.0,0.0,0.0,16.7,0.0,12.3,94.60000000000001,1.0,7.0,-9900
10800,0.0,0.0,0.0,16.0,0.0,11.9,94.60000000000001,0.0,0.0,-9900
14400,0.0,0.0,0.0,15.5,0.0,11.600000000000001,94.60000000000001,0.0,0.0,-9900
18000,3.0,0.0,3.0,15.4,0.0,11.4,94.60000000000001,0.0,0.0,-9900
21600,172.0,191.0,60.0,15.8,0.0,11.4,94.60000000000001,0.0,0.0,-9900
25200,341.0,382.0,117.0,16.7,0.0,11.5,94.7,0.0,0.0,-9900
28800,510.0,574.0,175.0,18.0,0.0,11.600000000000001,94.7,1.0,7.0,-9900
32400,567.0,488.0,244.0,19.400000000000002,0.0,11.600000000000001,94.7,2.6,6.0,-9900
36000,625.0,402.0,314.0,20.900000000000002,0.0,11.600000000000001,94.7,3.6,4.0,-9900
39600,683.0,316.0,384.0,22.200000000000003,0.0,11.5,94.7,4.1000000000000005,3.0,-9900
43200,658.0,309.0,371.0,23.1,0.0,11.4,94.60000000000001,4.2,3.0,-9900
46800,633.0,303.0,358.0,23.6,0.0,11.200000000000001,94.60000000000001,4.1000000000000005,3.0,-9900
50400,609.0,297.0,346.0,23.5,0.0,11.0,94.5,4.1000000000000005,3.0,-9900
54000,463.0,215.0,280.0,22.8,0.0,10.700000000000001,94.5,4.2,3.0,-9900
57600,318.0,134.0,215.0,21.700000000000003,0.0,10.4,94.5,4.3,2.0,-9900
61200,173.0,53.0,150.0,20.6,0.0,10.200000000000001,94.5,4.1000000000000005,2.0,-9900
64800,97.0,29.0,84.0,19.700000000000003,0.0,10.200000000000001,94.5,3.5,2.0,-9900
68400,21.0,6.0,18.0,19.0,0.0,10.3,94.60000000000001,2.8000000000000003,2.0,-9900
72000,0.0,0.0,0.0,18.5,0.0,10.4,94.60000000000001,2.1,2.0,-9900
75600,0.0,0.0,0.0,18.1,0.0,10.5,94.60000000000001,1.8,2.0,-9900
79200,0.0,0.0,0.0,17.8,0.0,10.600000000000001,94.60000000000001,1.7000000000000002,2.0,-9900
82800,0.0,0.0,0.0,17.6,0.0,10.700000000000001,94.60000000000001,1.7000000000000002,2.0,-9900
86400,0.0,0.0,0.0,17.400000000000002,0.0,10.700000000000001,94.60000000000001,1.8,2.0,-9900
90000,0.0,0.0,0.0,17.2,0.0,10.700000000000001,94.60000000000001,1.8,2.0,-9900
93600,0.0,0.0,0.0,17.0,0.0,10.700000000000001,94.5,1.8,3.0,-9900
97200,0.0,0.0,0.0,16.8,0.0,10.700000000000001,94.5,1.7000000000000002,3.0,-9900
100800,0.0,0.0,0.0,16.7,0.0,10.700000000000001,94.5,1.7000000000000002,3.0,-9900
104400,3.0,4.0,2.0,16.8,0.0,10.700000000000001,94.5,1.7000000000000002,4.0,-9900
108000,96.0,124.0,71.0,17.1,0.0,10.700000000000001,94.5,1.7000000000000002,4.0,-9900
111600,259.0,212.0,146.0,17.6,0.0,10.8,94.5,1.7000000000000002,4.0,-9900
115200,422.0,300.0,221.0,18.2,0.0,10.8,94.4,1.8,5.0,-9900
118800,585.0,389.0,297.0,18.8,0.0,10.700000000000001,94.4,1.8,5.0,-9900
122400,679.0,445.0,305.0,19.400000000000002,0.0,10.5,94.4,1.9000000000000001,5.0,-9900
126000,773.0,501.0,314.0,20.0,0.0,10.200000000000001,94.30000000000001,1.9000000000000001,6.0,-9900
129600,868.0,558.0,323.0,20.5,0.0,10.0,94.30000000000001,2.0,6.0,-9900
133200,802.0,542.0,307.0,20.900000000000002,0.0,9.9,94.30000000000001,2.0,6.0,-9900
136800,737.0,527.0,291.0,21.1,0.0,10.0,94.2,2.0,6.0,-9900
140400,672.0,512.0,276.0,21.200000000000003,0.0,10.0,94.2,2.0,6.0,-9900
144000,501.0,439.0,213.0,21.200000000000003,0.0,10.0,94.2,2.0,6.0,-9900
147600,330.0,367.0,150.0,21.0,0.0,10.0,94.10000000000001,1.9000000000000001,7.0,-9900
151200,160.0,295.0,87.0,20.6,0.0,10.100000000000001,94.10000000000001,1.8,7.0,-9900
154800,35.0,64.0,19.0,20.1,0.0,10.200000000000001,94.10000000000001,1.7000000000000002,7.0,-9900
158400,0.0,0.0,0.0,19.5,0.0,10.5,94.10000000000001,1.6,7.0,-9900
162000,0.0,0.0,0.0,19.0,0.0,10.700000000000001,94.10000000000001,1.4000000000000001,7.0,-9900
165600,0.0,0.0,0.0,18.6,0.0,10.9,94.10000000000001,1.2000000000000002,7.0,-9900
169200,0.0,0.0,0.0,18.3,0.0,11.200000000000001,94.0,1.1,8.0,-9900
172800,0.0,0.0,0.0,18.0,0.0,11.5,94.0,1.2000000000000002,8.0,-9900
176400,0.0,0.0,0.0,17.6,0.0,11.8,94.0,1.4000000000000001,8.0,-9900
180000,0.0,0.0,0.0,17.2,0.0,12.0,94.0,1.0,8.0,-9900
183600,0.0,0.0,0.0,16.8,0.0,11.8,94.10000000000001,0.0,0.0,-9900
187200,0.0,0.0,0.0,16.6,0.0,11.600000000000001,94.2,0.0,0.0,-9900
190800,0.0,0.0,0.0,16.900000000000002,0.0,11.5,94.2,0.0,0.0,-9900
194400,185.0,235.0,49.0,17.8,0.0,11.8,94.2,0.0,0.0,-9900
198000,371.0,470.0,98.0,18.7,0.0,12.3,94.10000000000001,0.0,0.0,-9900
201600,557.0,705.0,148.0,18.900000000000002,0.0,12.600000000000001,94.0,1.0,7.0,-9900
205200,516.0,492.0,223.0,18.1,0.0,12.5,94.0,2.2,6.0,-9900
208800,476.0,279.0,298.0,17.0,0.0,12.0,94.10000000000001,2.7,6.0,-9900
212400,436.0,66.0,374.0,16.5,0.0,11.600000000000001,94.10000000000001,2.6,5.0,-9900
216000,494.0,134.0,372.0,17.400000000000002,0.0,11.4,94.10000000000001,2.3000000000000003,6.0,-9900
219600,552.0,203.0,370.0,19.0,0.0,11.4,94.0,1.9000000000000001,6.0,-9900
223200,610.0,272.0,369.0,20.3,0.0,11.8,93.9,1.5,7.0,-9900
226800,494.0,243.0,305.0,20.5,0.0,12.4,93.80000000000001,1.3,9.0,-9900
230400,378.0,215.0,242.0,20.0,0.0,13.0,93.7,1.1,12.0,-9900
234000,262.0,187.0,179.0,19.1,0.0,13.4,93.7,1.0,14.0,-9900
237600,147.0,105.0,100.0,18.400000000000002,0.0,13.3,93.80000000000001,0.9,14.0,-9900
241200,32.0,23.0,22.0,17.8,0.0,13.0,93.9,0.9,14.0,-9900
244800,0.0,0.0,0.0,17.400000000000002,0.0,12.700000000000001,94.0,1.0,14.0,-9900
248400,0.0,0.0,0.0,17.0,0.0,12.700000000000001,94.10000000000001,1.3,12.0,-9900
252000,0.0,0.0,0.0,16.6,0.0,12.8,94.10000000000001,1.6,11.0,-9900
255600,0.0,0.0,0.0,16.1,0.0,12.700000000000001,94.0,1.4000000000000001,9.0,-9900
259200,0.0,0.0,0.0,15.5,0.0,12.3,94.0,0.5,7.0,-9900
262800,0.0,0.0,0.0,14.700000000000001,0.0,11.4,94.0,0.0,0.0,-9900
266400,0.0,0.0,0.0,13.9,0.0,10.4,94.0,0.0,0.0,-9900
270000,0.0,0.0,0.0,13.100000000000001,0.0,9.8,94.10000000000001,0.0,0.0,-9900
273600,0.0,0.0,0.0,12.5,0.0,9.5,94.10000000000001,0.0,0.0,-9900
277200,0.0,5.0,0.0,12.5,0.0,9.600000000000001,94.2,0.0,0.0,-9900
280800,198.0,296.0,29.0,13.200000000000001,0.0,9.9,94.30000000000001,0.0,0.0,-9900
284400,397.0,588.0,58.0,14.5,0.0,10.200000000000001,94.30000000000001,0.0,0.0,-9900
288000,596.0,880.0,88.0,16.400000000000002,0.0,10.100000000000001,94.30000000000001,1.0,1.0,-9900
291600,746.0,895.0,116.0,18.7,0.0,9.4,94.30000000000001,2.3000000000000003,16.0,-9900
295200,896.0,910.0,145.0,21.1,0.0,8.4,94.2,3.2,15.0,-9900
298800,1047.0,925.0,174.0,23.0,0.0,7.6000000000000005,94.2,3.6,14.0,-9900
302400,949.0,773.0,229.0,24.1,0.0,7.4,94.2,3.4000000000000004,14.0,-9900
306000,852.0,621.0,284.0,24.5,0.0,7.5,94.2,3.2,14.0,-9900
309600,755.0,469.0,339.0,24.3,0.0,7.5,94.2,3.6,14.0,-9900
313200,653.0,595.0,251.0,23.8,0.0,7.2,94.2,4.800000000000001,14.0,-9900
316800,552.0,722.0,163.0,23.3,0.0,7.0,94.2,5.4,14.0,-9900
320400,451.0,849.0,75.0,23.0,0.0,7.6000000000000005,94.2,3.6,14.0,-9900
324000,253.0,477.0,42.0,23.0,0.0,9.3,94.2,0.0,0.0,-9900
327600,55.0,105.0,9.0,23.1,0.0,11.4,94.30000000000001,0.0,0.0,-9900
331200,0.0,0.0,0.0,23.0,0.0,13.100000000000001,94.30000000000001,0.0,0.0,-9900
334800,0.0,0.0,0.0,22.400000000000002,0.0,13.600000000000001,94.30000000000001,0.0,0.0,-9900
338400,0.0,0.0,0.0,21.200000000000003,0.0,13.100000000000001,94.4,0.0,0.0,-9900
342000,0.0,0.0,0.0,19.5,0.0,12.0,94.4,0.0,0.0,-9900
345600,0.0,0.0,0.0,17.1,0.0,10.700000000000001,94.4,0.0,0.0,-9900
349200,0.0,0.0,0.0,14.200000000000001,0.0,9.600000000000001,94.4,0.0,0.0,-9900
352800,0.0,0.0,0.0,11.600000000000001,0.0,8.700000000000001,94.4,0.0,0.0,-9900
356400,0.0,0.0,0.0,10.0,0.0,8.1,94.4,0.0,0.0,-9900
360000,0.0,0.0,0.0,9.600000000000001,0.0,7.9,94.4,0.0,0.0,-9900
363600,0.0,0.0,0.0,10.200000000000001,0.0,8.1,94.4,0.0,0.0,-9900
367200,123.0,77.0,79.0,11.700000000000001,0.0,8.6,94.5,0.0,0.0,-9900
370800,247.0,154.0,158.0,13.9,0.0,9.200000000000001,94.5,0.0,0.0,-9900
374400,372.0,232.0,238.0,16.5,0.0,9.5,94.60000000000001,0.0,0.0,-9900
378000,523.0,321.0,276.0,19.400000000000002,0.0,9.3,94.60000000000001,0.0,0.0,-9900
381600,674.0,410.0,315.0,22.0,0.0,8.700000000000001,94.60000000000001,0.0,0.0,-9900
385200,825.0,500.0,354.0,23.900000000000002,0.0,8.200000000000001,94.60000000000001,3.1,13.0,-9900
388800,688.0,356.0,354.0,24.8,0.0,7.9,94.60000000000001,4.2,13.0,-9900
392400,551.0,212.0,354.0,25.0,0.0,7.800000000000001,94.5,3.0,14.0,-9900
396000,415.0,68.0,354.0,25.1,0.0,7.7,94.5,1.5,14.0,-9900
399600,384.0,156.0,294.0,25.400000000000002,0.0,7.5,94.4,1.2000000000000002,14.0,-9900
403200,353.0,244.0,234.0,25.5,0.0,7.4,94.4,1.7000000000000002,14.0,-9900
406800,322.0,333.0,174.0,25.1,0.0,7.5,94.4,2.1,14.0,-9900
410400,181.0,187.0,97.0,23.8,0.0,7.9,94.5,1.9000000000000001,13.0,-9900
414000,40.0,41.0,21.0,22.1,0.0,8.5,94.5,1.3,13.0,-9900
417600,0.0,0.0,0.0,20.400000000000002,0.0,9.0,94.60000000000001,1.0,12.0,-9900
421200,0.0,0.0,0.0,19.200000000000003,0.0,9.3,94.60000000000001,1.3,11.0,-9900
424800,0.0,0.0,0.0,18.400000000000002,0.0,9.5,94.60000000000001,1.8,9.0,-9900
428400,0.0,0.0,0.0,17.400000000000002,0.0,9.5,94.60000000000001,1.8,8.0,-9900
432000,0.0,0.0,0.0,16.1,0.0,9.4,94.60000000000001,0.5,6.0,-9900
435600,0.0,0.0,0.0,14.200000000000001,0.0,9.200000000000001,94.60000000000001,0.0,0.0,-9900
439200,0.0,0.0,0.0,12.200000000000001,0.0,9.0,94.60000000000001,0.0,0.0,-9900
442800,0.0,0.0,0.0,10.8,0.0,8.700000000000001,94.60000000000001,0.0,0.0,-9900
446400,0.0,0.0,0.0,10.3,0.0,8.4,94.7,0.0,0.0,-9900
450000,0.0,0.0,0.0,11.0,0.0,8.4,94.7,0.0,0.0,-9900
453600,197.0,299.0,25.0,12.9,0.0,8.700000000000001,94.7,0.0,0.0,-9900
457200,397.0,604.0,50.0,15.700000000000001,0.0,9.200000000000001,94.80000000000001,0.0,0.0,-9900
460800,598.0,909.0,76.0,18.8,0.0,9.4,94.80000000000001,2.1,15.0,-9900
464400,741.0,934.0,83.0,21.700000000000003,0.0,9.200000000000001,94.80000000000001,3.0,15.0,-9900
468000,884.0,959.0,91.0,24.3,0.0,8.6,94.7,3.1,14.0,-9900
471600,1027.0,984.0,99.0,26.200000000000003,0.0,8.1,94.7,3.1,14.0,-9900
475200,1010.0,982.0,102.0,27.400000000000002,0.0,7.800000000000001,94.7,3.5,13.0,-9900
478800,994.0,981.0,105.0,28.1,0.0,7.6000000000000005,94.60000000000001,4.0,13.0,-9900
482400,978.0,980.0,108.0,28.6,0.0,7.5,94.60000000000001,4.6000000000000005,12.0,-9900
486000,803.0,938.0,96.0,29.200000000000003,0.0,7.300000000000001,94.5,4.9,12.0,-9900
489600,628.0,896.0,85.0,29.400000000000002,0.0,7.1000000000000005,94.5,4.7,13.0,-9900
493200,454.0,855.0,74.0,28.8,0.0,7.300000000000001,94.5,4.1000000000000005,13.0,-9900
496800,255.0,480.0,41.0,27.1,0.0,7.9,94.60000000000001,3.0,13.0,-9900
500400,56.0,106.0,9.0,24.900000000000002,0.0,8.700000000000001,94.60000000000001,1.8,12.0,-9900
504000,0.0,0.0,0.0,22.8,0.0,9.4,94.7,1.0,12.0,-9900
507600,0.0,0.0,0.0,21.400000000000002,0.0,9.8,94.7,0.8,11.0,-9900
511200,0.0,0.0,0.0,20.5,0.0,10.0,94.7,0.9,9.0,-9900
514800,0.0,0.0,0.0,19.6,0.0,10.0,94.7,1.0,8.0,-9900
518400,0.0,0.0,0.0,18.2,0.0,10.0,94.7,0.5,6.0,-9900
522000,0.0,0.0,0.0,16.2,0.0,10.0,94.7,0.0,0.0,-9900
525600,0.0,0.0,0.0,14.0,0.0,9.9,94.7,0.0,0.0,-9900
529200,0.0,0.0,0.0,12.3,0.0,9.4,94.7,0.0,0.0,-9900
532800,0.0,0.0,0.0,11.600000000000001,0.0,8.9,94.80000000000001,0.0,0.0,-9900
536400,0.0,0.0,0.0,12.100000000000001,0.0,8.9,94.80000000000001,0.0,0.0,-9900
540000,192.0,297.0,22.0,14.100000000000001,0.0,9.600000000000001,94.80000000000001,0.0,0.0,-9900
543600,391.0,604.0,45.0,17.2,0.0,10.5,94.80000000000001,0.0,0.0,-9900
547200,590.0,912.0,69.0,20.6,0.0,10.8,94.80000000000001,0.5,6.0,-9900
550800,743.0,940.0,83.0,23.900000000000002,0.0,10.0,94.80000000000001,1.1,9.0,-9900
554400,896.0,968.0,97.0,26.700000000000003,0.0,8.6,94.7,1.6,11.0,-9900
558000,1050.0,997.0,111.0,28.8,0.0,7.4,94.7,2.1,14.0,-9900
561600,985.0,876.0,170.0,30.0,0.0,7.0,94.7,2.7,13.0,-9900
565200,920.0,756.0,230.0,30.6,0.0,6.9,94.60000000000001,3.1,11.0,-9900
568800,856.0,636.0,290.0,31.200000000000003,0.0,6.7,94.5,3.1,10.0,-9900
572400,717.0,674.0,228.0,31.900000000000002,0.0,5.9,94.4,2.5,8.0,-9900
576000,578.0,713.0,167.0,32.300000000000004,0.0,5.2,94.30000000000001,1.6,6.0,-9900
579600,440.0,752.0,106.0,31.700000000000003,0.0,5.6000000000000005,94.2,1.0,4.0,-9900
583200,247.0,422.0,59.0,29.6,0.0,7.6000000000000005,94.2,1.0,4.0,-9900
586800,54.0,93.0,13.0,26.8,0.0,10.4,94.2,1.4000000000000001,4.0,-9900
590400,0.0,0.0,0.0,24.200000000000003,0.0,12.700000000000001,94.30000000000001,2.1,4.0,-9900
594000,0.0,0.0,0.0,22.6,0.0,13.600000000000001,94.30000000000001,2.8000000000000003,4.0,-9900
597600,0.0,0.0,0.0,21.8,0.0,13.4,94.30000000000001,3.2,3.0,-9900
601200,0.0,0.0,0.0,21.3,0.0,12.5,94.30000000000001,2.7,3.0,-9900
604800,0.0,0.0,0.0,20.6,0.0,11.4,94.30000000000001,1.0,2.0,-9900
608400,0.0,0.0,0.0,19.3,0.0,10.5,94.30000000000001,0.0,0.0,-9900
612000,0.0,0.0,0.0,17.400000000000002,0.0,9.8,94.30000000000001,0.0,0.0,-9900
615600,0.0,0.0,0.0,15.100000000000001,0.0,9.200000000000001,94.30000000000001,0.0,0.0,-9900
619200,0.0,0.0,0.0,13.4,0.0,9.0,94.2,0.0,0.0,-9900
622800,0.0,0.0,0.0,13.200000000000001,0.0,9.3,94.2,0.0,0.0,-9900
626400,190.0,290.0,24.0,15.3,0.0,10.3,94.2,0.0,0.0,-9900
630000,389.0,595.0,50.0,18.7,0.0,11.200000000000001,94.30000000000001,0.0,0.0,-9900
633600,589.0,900.0,76.0,22.1,0.0,11.5,94.30000000000001,1.5,15.0,-9900
637200,693.0,823.0,141.0,24.400000000000002,0.0,10.5,94.30000000000001,2.3000000000000003,15.0,-9900
640800,797.0,746.0,206.0,25.700000000000003,0.0,8.700000000000001,94.2,2.5,14.0,-9900
644400,902.0,669.0,272.0,26.6,0.0,6.9,94.2,2.6,14.0,-9900
648000,895.0,681.0,265.0,27.5,0.0,5.6000000000000005,94.2,3.2,14.0,-9900
651600,888.0,694.0,259.0,28.3,0.0,4.7,94.10000000000001,4.1000000000000005,14.0,-9900
655200,881.0,707.0,253.0,28.900000000000002,0.0,3.8000000000000003,94.10000000000001,5.1000000000000005,14.0,-9900
658800,717.0,656.0,216.0,29.1,0.0,2.7,94.10000000000001,5.800000000000001,14.0,-9900
662400,553.0,605.0,179.0,28.5,0.0,1.9000000000000001,94.10000000000001,6.1000000000000005,14.0,-9900
666000,390.0,554.0,143.0,26.5,0.0,2.1,94.10000000000001,5.7,14.0,-9900
669600,219.0,311.0,80.0,22.8,0.0,3.8000000000000003,94.2,4.5,16.0,-9900
673200,48.0,68.0,17.0,18.5,0.0,6.300000000000001,94.30000000000001,2.9000000000000004,1.0,-9900
676800,0.0,0.0,0.0,15.0,0.0,8.4,94.4,1.5,3.0,-9900
680400,0.0,0.0,0.0,13.3,0.0,9.4,94.5,0.7000000000000001,3.0,-9900
684000,0.0,0.0,0.0,13.0,0.0,9.4,94.5,0.5,3.0,-9900
687600,0.0,0.0,0.0,13.3,0.0,8.9,94.5,0.8,3.0,-9900
691200,0.0,0.0,0.0,13.5,0.0,8.200000000000001,94.5,1.5,3.0,-9900
694800,0.0,0.0,0.0,13.100000000000001,0.0,7.7,94.5,2.2,4.0,-9900
698400,0.0,0.0,0.0,12.3,0.0,7.5,94.5,1.5,4.0,-9900
702000,0.0,0.0,0.0,11.700000000000001,0.0,7.6000000000000005,94.5,0.0,0.0,-9900
705600,0.0,0.0,0.0,11.4,0.0,7.9,94.5,0.0,0.0,-9900
709200,0.0,0.0,0.0,11.700000000000001,0.0,8.1,94.5,0.0,0.0,-9900
712800,170.0,206.0,52.0,12.600000000000001,0.0,8.1,94.5,0.0,0.0,-9900
716400,351.0,426.0,108.0,14.0,0.0,7.9,94.60000000000001,0.0,0.0,-9900
720000,532.0,647.0,165.0,15.600000000000001,0.0,7.6000000000000005,94.60000000000001,2.1,14.0,-9900
723600,706.0,766.0,147.0,17.3,0.0,7.1000000000000005,94.60000000000001,3.8000000000000003,14.0,-9900
727200,881.0,885.0,129.0,19.0,0.0,6.6000000000000005,94.5,4.0,14.0,-9900
730800,1056.0,1005.0,112.0,20.6,0.0,6.1000000000000005,94.4,3.6,14.0,-9900
734400,1034.0,1006.0,106.0,22.1,0.0,5.7,94.4,3.5,14.0,-9900
738000,1013.0,1008.0,100.0,23.400000000000002,0.0,5.2,94.30000000000001,3.7,14.0,-9900
741600,992.0,1010.0,94.0,24.400000000000002,0.0,4.7,94.30000000000001,4.1000000000000005,14.0,-9900
745200,818.0,975.0,84.0,25.0,0.0,4.0,94.30000000000001,4.4,13.0,-9900
748800,644.0,941.0,75.0,25.0,0.0,3.4000000000000004,94.2,4.5,13.0,-9900
752400,470.0,907.0,66.0,24.3,0.0,3.1,94.2,4.1000000000000005,12.0,-9900
756000,264.0,509.0,37.0,22.700000000000003,0.0,3.3000000000000003,94.2,3.2,13.0,-9900
759600,58.0,112.0,8.0,20.700000000000003,0.0,3.9000000000000004,94.30000000000001,2.2,13.0,-9900
763200,0.0,0.0,0.0,18.900000000000002,0.0,4.4,94.4,1.5,14.0,-9900
766800,0.0,0.0,0.0,17.6,0.0,4.7,94.5,1.4000000000000001,12.0,-9900
770400,0.0,0.0,0.0,16.6,0.0,4.7,94.5,1.6,11.0,-9900
774000,0.0,0.0,0.0,15.200000000000001,0.0,4.7,94.5,1.5,9.0,-9900
777600,0.0,0.0,0.0,13.100000000000001,0.0,4.7,94.5,0.7000000000000001,7.0,-9900
781200,0.0,0.0,0.0,10.100000000000001,0.0,4.800000000000001,94.5,0.0,0.0,-9900
784800,0.0,0.0,0.0,7.7,0.0,5.2,94.5,0.0,0.0,-9900
788400,0.0,0.0,0.0,7.300000000000001,0.0,5.9,94.5,0.0,0.0,-9900
792000,0.0,0.0,0.0,8.6,0.0,6.7,94.60000000000001,0.0,0.0,-9900
795600,0.0,0.0,0.0,10.5,0.0,7.6000000000000005,94.7,0.5,8.0,-9900
799200,178.0,242.0,40.0,12.4,0.0,8.3,94.80000000000001,0.9,6.0,-9900
802800,370.0,505.0,84.0,14.3,0.0,8.5,94.80000000000001,0.7000000000000001,4.0,-9900
806400,563.0,768.0,129.0,16.2,0.0,8.3,94.80000000000001,0.5,2.0,-9900
810000,720.0,844.0,119.0,18.2,0.0,7.5,94.80000000000001,0.6000000000000001,2.0,-9900
813600,878.0,920.0,109.0,20.3,0.0,6.5,94.80000000000001,1.0,1.0,-9900
817200,1036.0,997.0,100.0,22.3,0.0,5.800000000000001,94.7,1.5,1.0,-9900
820800,1009.0,974.0,110.0,24.0,0.0,5.800000000000001,94.60000000000001,1.9000000000000001,16.0,-9900
824400,982.0,951.0,120.0,25.5,0.0,6.0,94.60000000000001,2.3000000000000003,16.0,-9900
828000,956.0,929.0,130.0,26.6,0.0,5.7,94.5,2.6,15.0,-9900
831600,794.0,921.0,108.0,27.3,0.0,4.5,94.4,2.9000000000000004,15.0,-9900
835200,632.0,913.0,87.0,27.3,0.0,3.3000000000000003,94.4,3.0,14.0,-9900
838800,470.0,906.0,66.0,26.400000000000002,0.0,3.2,94.4,3.1,14.0,-9900
842400,263.0,508.0,37.0,24.400000000000002,0.0,5.0,94.4,3.0,15.0,-9900
846000,57.0,111.0,8.0,21.900000000000002,0.0,7.7,94.5,2.8000000000000003,1.0,-9900
849600,0.0,0.0,0.0,19.8,0.0,10.100000000000001,94.60000000000001,2.6,2.0,-9900
853200,0.0,0.0,0.0,18.6,0.0,11.100000000000001,94.7,2.3000000000000003,2.0,-9900
856800,0.0,0.0,0.0,18.2,0.0,11.100000000000001,94.7,2.1,3.0,-9900
860400,0.0,0.0,0.0,18.2,0.0,10.5,94.7,1.9000000000000001,3.0,-9900
864000,0.0,0.0,0.0,18.0,0.0,10.0,94.7,1.8,3.0,-9900
867600,0.0,0.0,0.0,17.400000000000002,0.0,9.9,94.7,1.7000000000000002,4.0,-9900
871200,0.0,0.0,0.0,16.6,0.0,10.100000000000001,94.7,1.0,4.0,-9900
874800,0.0,0.0,0.0,15.8,0.0,10.100000000000001,94.7,0.0,0.0,-9900
878400,0.0,0.0,0.0,15.200000000000001,0.0,10.100000000000001,94.60000000000001,0.0,0.0,-9900
882000,0.0,0.0,0.0,15.200000000000001,0.0,10.200000000000001,94.60000000000001,0.0,0.0,-9900
885600,151.0,175.0,53.0,15.9,0.0,10.5,94.60000000000001,0.0,0.0,-9900
889200,318.0,367.0,111.0,17.3,0.0,10.600000000000001,94.60000000000001,0.0,0.0,-9900
892800,486.0,560.0,170.0,19.400000000000002,0.0,10.100000000000001,94.60000000000001,1.0,14.0,-9900
896400,616.0,575.0,216.0,21.900000000000002,0.0,8.6,94.60000000000001,2.0,14.0,-9900
900000,747.0,591.0,262.0,24.400000000000002,0.0,6.800000000000001,94.5,2.4000000000000004,14.0,-9900
903600,878.0,607.0,309.0,26.200000000000003,0.0,5.2,94.5,2.6,14.0,-9900
907200,825.0,541.0,325.0,27.0,0.0,4.5,94.5,3.1,14.0,-9900
910800,773.0,475.0,341.0,27.1,0.0,4.3,94.4,3.7,14.0,-9900
914400,721.0,409.0,358.0,27.400000000000002,0.0,4.3,94.4,4.1000000000000005,14.0,-9900
918000,566.0,327.0,299.0,28.200000000000003,0.0,4.1000000000000005,94.4,3.9000000000000004,14.0,-9900
921600,411.0,245.0,241.0,28.900000000000002,0.0,4.0,94.30000000000001,3.1,13.0,-9900
925200,256.0,164.0,183.0,28.8,0.0,4.2,94.30000000000001,1.5,13.0,-9900
928800,143.0,92.0,102.0,27.200000000000003,0.0,5.1000000000000005,94.30000000000001,0.0,0.0,-9900
932400,31.0,20.0,22.0,24.900000000000002,0.0,6.2,94.4,0.0,0.0,-9900
936000,0.0,0.0,0.0,22.8,0.0,7.300000000000001,94.4,0.0,0.0,-9900
939600,0.0,0.0,0.0,21.6,0.0,7.9,94.4,0.0,0.0,-9900
943200,0.0,0.0,0.0,21.200000000000003,0.0,8.1,94.4,0.0,0.0,-9900
946800,0.0,0.0,0.0,21.1,0.0,8.200000000000001,94.4,0.0,0.0,-9900
950400,0.0,0.0,0.0,21.0,0.0,8.200000000000001,94.4,0.5,7.0,-9900
954000,0.0,0.0,0.0,20.5,0.0,8.4,94.4,1.0,11.0,-9900
957600,0.0,0.0,0.0,19.5,0.0,8.8,94.4,1.0,15.0,-9900
961200,0.0,0.0,0.0,18.1,0.0,9.5,94.4,0.9,14.0,-9900
964800,0.0,0.0,0.0,16.900000000000002,0.0,10.3,94.5,0.9,13.0,-9900
968400,0.0,0.0,0.0,16.400000000000002,0.0,10.9,94.5,1.0,12.0,-9900
972000,130.0,109.0,68.0,17.2,0.0,11.100000000000001,94.5,1.2000000000000002,13.0,-9900
975600,276.0,232.0,145.0,18.8,0.0,11.0,94.5,1.6,15.0,-9900
979200,422.0,356.0,222.0,20.900000000000002,0.0,10.700000000000001,94.5,2.1,16.0,-9900
982800,526.0,367.0,271.0,22.900000000000002,0.0,10.3,94.5,2.7,16.0,-9900
986400,630.0,378.0,320.0,24.6,0.0,10.0,94.5,3.4000000000000004,15.0,-9900
990000,734.0,390.0,369.0,25.8,0.0,9.9,94.5,4.1000000000000005,15.0,-9900
993600,712.0,375.0,366.0,26.5,0.0,10.0,94.5,4.7,15.0,-9900
