,#1,,,,,,,,,,
,double data(8760,11),,,,,,,,,
0,0,0,0,0,2.8,-9.4,40,954,3.6,260,-9900
1,3600,0,0,0,2.4,-8.5,41,954,3.8,270,-9900
2,7200,0,0,0,2.1,-8.2,43,954,3.9,290,-9900
3,10800,0,0,0,1.7,-9.4,44,954,4.1,300,-9900
4,14400,0,0,0,1.7,-8,45,953,4.5,300,-9900
5,18000,0,0,0,1.7,-8,45,953,4.8,290,-9900
6,21600,0,0,0,1.7,-8.9,46,952,5.2,290,-9900
7,25200,41,0,38,3.7,-7.4,41,952,5,290,-9900
8,28800,119,31,106,5.8,-6.9,37,951,4.8,280,-9900
9,32400,376,51,158,7.8,-7.8,32,951,4.6,280,-9900
10,36000,462,551,201,9.6,-6.7,29,950,3.9,340,-9900
11,39600,422,538,234,11.5,-6.1,27,950,3.3,30,-9900
12,43200,532,356,186,13.3,-6.7,24,949,2.6,90,-9900
13,46800,418,666,148,13.3,-6.1,24,949,3.5,90,-9900
14,50400,289,587,102,13.3,-6.6,23,949,4.3,90,-9900
15,54000,151,528,72,13.3,-7.2,23,949,5.2,90,-9900
16,57600,33,379,21,11.1,-6.4,27,949,4.8,30,-9900
17,61200,0,119,0,8.9,-6.9,30,949,4.5,340,-9900
18,64800,0,0,0,6.7,-8.3,34,950,4.1,280,-9900
19,68400,0,0,0,6.9,-6.3,36,950,4.5,300,-9900
20,72000,0,0,0,7,-5.6,38,950,4.8,310,-9900
21,75600,0,0,0,7.2,-5.6,40,951,5.2,330,-9900
22,79200,0,0,0,6.3,-4.2,45,951,5.2,310,-9900
23,82800,0,0,0,5.3,-3.8,50,951,5.2,280,-9900
24,86400,0,0,0,4.4,-3.9,55,951,5.2,260,-9900
25,90000,0,0,0,3.7,-3.6,57,952,4.8,280,-9900
26,93600,0,0,0,2.9,-3.6,60,952,4.5,290,-9900
27,97200,0,0,0,2.2,-4.4,62,953,4.1,310,-9900
28,100800,0,0,0,1.7,-3.9,64,953,4.1,310,-9900
29,104400,0,0,0,1.1,-4.2,65,954,4.1,300,-9900
30,108000,3,0,1,0.6,-5,67,954,4.1,300,-9900
31,111600,62,3,23,3,-4.1,57,955,2.7,280,-9900
32,115200,233,406,40,5.4,-4.2,48,956,1.4,260,-9900
33,118800,395,735,53,7.8,-5.6,38,956,0,0,-9900
34,122400,508,866,62,9.5,-5.3,33,956,0,0,-9900
35,126000,564,917,66,11.1,-6,28,956,0,0,-9900
36,129600,554,941,65,12.8,-7.8,23,955,0,0,-9900
37,133200,480,937,60,13,-7.3,22,955,1,160,-9900
38,136800,350,908,49,13.1,-7.2,22,955,2.1,140,-9900
39,140400,180,842,35,13.3,-8.9,21,955,3.1,120,-9900
40,144000,40,682,17,10.3,-8.3,24,955,3.4,170,-9900
41,147600,0,235,0,7.4,-8.8,28,956,3.8,220,-9900
42,151200,0,0,0,4.4,-11.1,31,956,4.1,270,-9900
43,154800,0,0,0,4,-10,32,957,2.7,280,-9900
44,158400,0,0,0,3.7,-9.5,34,957,1.4,290,-9900
45,162000,0,0,0,3.3,-10.6,35,958,0,0,-9900
46,165600,0,0,0,1.8,-9.8,38,958,0,0,-9900
47,169200,0,0,0,0.4,-9.8,42,958,0,0,-9900
48,172800,0,0,0,-1.1,-11.7,45,958,0,0,-9900
49,176400,0,0,0,-1.3,-10.3,46,958,0,0,-9900
50,180000,0,0,0,-1.5,-10.5,46,958,0,0,-9900
51,183600,0,0,0,-1.7,-11.7,47,958,0,0,-9900
52,187200,0,0,0,-1.9,-10.4,48,958,0,0,-9900
53,190800,0,0,0,-2,-10.5,48,958,0,0,-9900
54,194400,3,0,1,-2.2,-11.7,49,959,0,0,-9900
55,198000,65,4,22,0.4,-9.5,43,959,0,0,-9900
56,201600,239,445,40,3,-8.8,38,960,0,0,-9900
57,205200,402,759,49,5.6,-10,32,960,0,0,-9900
58,208800,517,891,57,7.6,-8.3,29,959,0,0,-9900
59,212400,573,944,61,9.7,-7.9,26,958,0,0,-9900
60,216000,563,964,61,11.7,-8.9,23,957,0,0,-9900
61,219600,488,961,55,12.2,-7.9,22,957,0.9,60,-9900
62,223200,357,932,45,12.8,-8.5,20,956,1.7,70,-9900
63,226800,186,867,33,13.3,-10,19,956,2.6,80,-9900
64,230400,43,713,16,10.7,-9,22,956,1.7,60,-9900
65,234000,0,268,0,8.2,-10,24,956,0.9,40,-9900
66,237600,0,0,0,5.6,-12.2,27,957,0,0,-9900
67,241200,0,0,0,4.5,-10.3,30,957,0,0,-9900
68,244800,0,0,0,3.3,-9.9,34,957,0,0,-9900
69,248400,0,0,0,2.2,-11.1,37,957,0,0,-9900
70,252000,0,0,0,1.5,-10.3,37,957,0.9,320,-9900
71,255600,0,0,0,0.7,-10.7,38,957,1.7,300,-9900
72,259200,0,0,0,0,-12.8,38,957,2.6,280,-9900
73,262800,0,0,0,-0.4,-11.1,40,957,1.7,280,-9900
74,266400,0,0,0,-0.7,-11.1,41,956,0.9,280,-9900
75,270000,0,0,0,-1.1,-12.2,43,956,0,0,-9900
