name,value,error
sun_azimuth,270,
sun_elevation,40.835,
num hst,1,
num rays,100000.0,
potential flux,76695.9,0.0
absorbed flux,65022.6,39.3804
Cosine factor,0.976535,4.63063e-06
shadow loss,2.24771,1.2977
Mising loss,2381.98,39.3485
materials loss,7489.4,0.135039
atomospheric loss,0.0,0.0
,,
Target,,
area,100.0,
front income flux,0.0,0.0
back income flux,65022.6,39.3804
front absorbed flux,0.0,0.0
back absorbed flux,65022.6,39.3804
front efficiency,0.0,0.0
back efficiency,0.847797,0.000513462
,,
Virtual plane,,
area,40000.0,
income flux,0.0,0.0
