name,value,error
sun_azimuth,270,
sun_elevation,52.4941,
num hst,3,
num rays,100000.0,
potential flux,300013.0,0.0
absorbed flux,256617.0,168.014
Cosine factor,0.991105,7.01439e-06
shadow loss,0.0,0.0
Mising loss,10987.7,167.874
materials loss,29739.8,3.7786
atomospheric loss,0.0,0.0
,,
Target,,
area,100.0,
front income flux,0.0,0.0
back income flux,256617.0,168.014
front absorbed flux,0.0,0.0
back absorbed flux,256617.0,168.014
front efficiency,0.0,0.0
back efficiency,0.855352,0.000560023
,,
Virtual plane,,
area,40000.0,
income flux,0.0,0.0
