P_net,T_in_ref_blk,p_high,PR,pinch_PHX,dTemp_HTF_PHX,load,T_HTF_in,T_amb_input,eta_gross,eta_Q,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.94,1257.99,309.39,0.5012203197133507,1.0019813219041551,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.03,1237.64,259.31,0.5083168333018548,0.9994381206777464,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.83,1253.22,265.31,0.4980910336952642,0.9833738172477875,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.14,1259.44,256.41,0.5212481069303725,1.021220729542893,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.18,1243.95,276.93,0.5175502116561487,1.0144310439263058,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.05,1246.72,273.19,0.5127677366569051,1.0067663662002657,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.53,1227.13,252.71,0.4217848632874632,0.9319335019045037,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.49,1258.87,304.32,0.41171527492558924,0.9315098561396437,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.94,1247.15,303.06,0.4970999363398799,0.995197330146363,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.57,1254.56,320.56,0.44708004213069574,0.9713718058095252,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.21,1236.2,310.06,0.5073979158032866,1.0118628627524178,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.92,1240.1,257.14,0.5014266424440212,0.9877952370295935,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.88,1239.98,256.08,0.49804149555331195,0.9833425263864863,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.89,1255.64,300.44,0.4961383512402459,0.9935949897855088,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.89,1226.42,292.46,0.490332005489182,0.9809151643322296,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.98,1227.03,260.4,0.5009697479880358,0.9870168177612142,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.8,1250.68,268.79,0.49434025518546976,0.9808669471884138,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.95,1233.38,320.71,0.4924696963992853,0.987451989659556,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.25,1240.33,267.17,0.5186288000879498,1.0162831646627737,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.76,1250.25,314.35,0.48084273292222834,0.9773145202456434,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.93,1229.0,258.3,0.4981472720412235,0.9834089180102751,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.94,1233.85,281.6,0.500526065468832,0.9864082538744772,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.8,1244.44,252.49,0.4922450783018555,0.9793276090922567,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.1,1228.15,286.36,0.5080850186806936,0.9998225639568376,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.78,1235.94,310.33,0.4781784188229108,0.9751007434102822,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.16,1229.31,310.79,0.5030376930233336,1.0049252773168746,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.97,1244.88,304.37,0.4984824486806064,0.9974885039331345,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.62,1224.98,284.45,0.4567092799544792,0.9728667373885268,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.89,1225.26,316.04,0.48521030323553394,0.9806417384250549,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.76,1255.29,267.59,0.4914364930616253,0.978712130022829,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.57,1243.98,274.6,0.4496203025446218,0.9619173281483263,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.86,1243.02,271.79,0.4974039244210835,0.9829396568407526,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.87,1253.0,264.26,0.5019309632993364,0.9886545146698186,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.04,1243.16,276.19,0.5109176298933226,1.0037614586011276,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.0,1253.77,265.99,0.5124168850874582,1.0061897992466582,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.84,1251.56,262.02,0.49845020733365086,0.9835975697704646,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.11,1244.36,260.77,0.5148842061752301,1.0101738328255114,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.01,1260.15,295.11,0.5067450401307495,1.010835813714389,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.66,1252.09,280.11,0.47663329749965105,0.9764285254114333,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.92,1256.78,310.62,0.49918107163608005,0.9986392732623784,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.72,1230.67,254.62,0.4782744658561165,0.975200295621682,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.24,1247.35,310.95,0.5121847470782892,1.020115337539171,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.06,1259.79,303.9,0.5093685286622343,1.014935472462118,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.2,1237.74,322.89,0.5075911719489589,1.0121663099469107,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.52,1245.08,284.07,0.42781439122016407,0.9372961053746773,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.9,1253.87,277.61,0.5050303458889571,0.9939533822833563,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.01,1236.55,275.95,0.5066717969251566,0.9967066477328317,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.81,1240.69,302.43,0.4831814473425749,0.9791506988945808,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.9,1248.73,277.77,0.5030442749395504,0.9905878735072327,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.78,1227.89,262.76,0.48411146086216794,0.972854218326564,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.03,1226.63,266.64,0.5041429856388678,0.9924149329363332,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.75,1235.67,315.61,0.47421228888703304,0.9722549359309108,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.16,1238.61,275.53,0.5149484091533559,1.010292521956524,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.52,1235.62,293.43,0.4161651601139738,0.9322383761767002,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.2,1239.48,268.64,0.516734657070918,1.0131214968123072,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.86,1233.28,288.57,0.4931851281087447,0.9807770141710044,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.04,1239.24,279.21,0.5094532631457355,1.0013878438223824,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.11,1249.73,282.26,0.5166539092108616,1.013161667099116,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.63,1232.52,265.53,0.46483409628646666,0.9849741313851759,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.84,1232.97,265.76,0.49232605582895833,0.9793888705526066,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.48,1235.01,320.38,0.39008705124978404,0.9225633936469307,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.95,1241.17,285.02,0.5039783283537227,0.9926265919361014,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.55,1253.38,320.05,0.43800807003661724,0.9587608184010024,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.58,1241.05,279.62,0.45177919930865146,0.9649665730483632,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.55,1227.79,288.26,0.43047360890267106,0.9411150366739017,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.85,1247.41,297.73,0.48918825453535103,0.9833042065358365,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.91,1258.39,255.27,0.5076198727238992,0.9982742222416338,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.11,1242.76,302.18,0.5057527931759527,1.0092668880395634,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.98,1238.5,321.06,0.4967393855368585,0.9945970048390241,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.1,1231.46,319.14,0.501141663103581,1.0018531258079515,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.96,1248.33,294.82,0.49907348485813524,0.9984620615371849,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.19,1253.54,318.54,0.5126429491322178,1.0209632941017321,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.57,1226.07,298.54,0.4299402565570816,0.9495430550824079,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.22,1247.08,286.4,0.5195011664062127,1.0187999153545153,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.83,1248.51,297.4,0.48775646051483695,0.9823856266415507,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.23,1236.13,311.08,0.5080431849585741,1.0128737223119668,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.06,1237.84,273.26,0.5100761317361244,1.0023639126629753,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.87,1240.25,289.38,0.49596390647820576,0.9828921651788517,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.51,1254.99,273.83,0.42917473571500364,0.9385899223399684,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.17,1232.15,256.94,0.5130595110519003,1.0072328518172733,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.6,1227.38,255.16,0.4511662083523309,0.9639528554825773,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.61,1238.99,305.9,0.4530311063908124,0.9804009024333101,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.89,1239.17,252.56,0.4985481752901258,0.9836580810472249,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.89,1253.99,289.62,0.502729720479637,0.9925199538055047,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.91,1243.44,316.91,0.4931339602195471,0.9885667005951709,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.61,1245.99,279.03,0.465912368002122,0.9866748969206811,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.47,1225.41,306.32,0.37667194704873,0.921483891252615,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.23,1247.61,321.82,0.5119666597260197,1.0197110682669188,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.6,1233.57,299.11,0.4460584003948951,0.969819172616237,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.6,1257.02,269.18,0.4687301952786319,0.9911893504055851,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.96,1234.88,297.23,0.4938500417424194,0.9897684995071632,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.82,1231.59,283.29,0.4897496346294189,0.9774941306553862,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.84,1249.77,318.68,0.4890799320138836,0.9832361812932374,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.62,1229.87,299.5,0.4510576615254187,0.9774104012638036,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.24,1251.19,307.91,0.5136082915078328,1.023091642647105,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.81,1237.35,301.78,0.4820329871412011,0.9782683297695515,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.17,1227.23,253.45,0.5112871793935478,1.004346643833811,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.78,1252.67,271.58,0.4928608909246143,0.9797911991544844,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.55,1247.95,262.37,0.44389713146213033,0.954919874120927,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.07,1241.75,254.15,0.5120317996514974,1.0055629398358568,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.64,1229.65,299.7,0.4576188632205892,0.9873280033650921,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.67,1238.31,294.09,0.4667119092977962,0.9788910226645399,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.78,1251.28,315.14,0.48356582668710185,0.9794389076107742,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.64,1259.5,296.07,0.4670017549111621,0.9770290672894706,
