P_net,T_in_ref_blk,p_high,PR,pinch_PHX,dTemp_HTF_PHX,load,T_HTF_in,T_amb_input,eta_gross,eta_Q,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.13,1235.06,303.91,0.5038652196224996,1.006254627103697,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.22,1250.72,261.24,0.5211570160231878,1.0210497245207448,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.55,1236.4,310.89,0.42772840123096767,0.9471457486223772,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.78,1255.67,286.5,0.4933777504807574,0.9805312098783717,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.67,1237.17,282.05,0.47352459794797147,0.9792934037639879,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.74,1249.23,291.67,0.4836467554789358,0.974844760071766,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.04,1224.56,278.39,0.5039211565851919,0.9920851079977956,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.08,1233.93,263.48,0.509688226752786,1.0017160128832925,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.57,1233.54,307.19,0.4345471699218581,0.9545578199567536,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.98,1248.18,301.41,0.5004338716013808,1.0006974963687465,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.84,1242.85,274.88,0.4956051014910834,0.9817511666317231,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.66,1242.55,294.15,0.4663533799655047,0.9791226679929006,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.05,1250.94,251.57,0.5142793453341318,1.0092031192049586,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.61,1241.72,258.98,0.46345755767745234,0.9828666314664224,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.77,1253.95,299.24,0.4833324106261507,0.9792641615915929,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.16,1224.12,317.5,0.5011182678603041,1.0018149843490707,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.86,1240.88,290.95,0.49432495737024923,0.9824873817546228,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.89,1226.61,253.26,0.49447159231960797,0.9809595246276402,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.81,1238.14,266.82,0.49114167097555606,0.9784838926329253,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.47,1255.14,283.87,0.40632877928256006,0.9228299356124926,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.52,1238.6,273.85,0.4239978842643579,0.9335035664839278,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.16,1245.69,284.03,0.5172197130725957,1.0142001026268441,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.19,1244.05,268.58,0.5179562595871853,1.0150458210194693,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.84,1235.89,315.93,0.48448426110623627,0.9801180370361602,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.64,1247.77,271.07,0.4721607060552747,0.9808767409767671,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.91,1230.94,305.98,0.4885850683963481,0.9829231152268563,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.07,1228.35,318.83,0.4984209671735912,0.9973870580883997,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.12,1227.36,321.17,0.500563894855287,1.0009100595959346,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.8,1231.92,322.38,0.47904393854371363,0.9758327754233399,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.73,1230.49,298.02,0.470483931376277,0.9743317119162903,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.22,1232.82,293.55,0.5092808300502387,1.0105193631065132,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.63,1239.88,276.25,0.469030145820541,0.991715161598387,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.01,1244.45,265.38,0.509632438747786,1.0016239340380055,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.71,1259.54,315.4,0.47733891410441703,0.9743755811855003,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.5,1229.08,259.99,0.4072628683499962,0.9233096055466994,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.58,1258.67,277.86,0.4623409406650974,0.9811902927278738,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.97,1226.22,254.13,0.49991008565629624,0.9852063908263012,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.96,1239.01,304.31,0.4954785234866153,0.9924930896396145,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.94,1252.06,288.77,0.506557298836349,0.998313575963405,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.88,1245.32,312.43,0.4910853918019788,0.9851232986281262,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.74,1249.39,255.33,0.48680651016271886,0.9748946004515524,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.02,1252.24,295.77,0.5044881586992891,1.0072522946017928,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.59,1246.41,270.18,0.4589531865836158,0.975951205229282,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.09,1253.69,313.24,0.508701078073001,1.0138988183747957,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.69,1225.18,264.44,0.4728003081224666,0.9802042518551661,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.24,1229.81,309.55,0.5061360039651948,1.009873718863862,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.53,1256.06,279.86,0.43974898591494976,0.9503614502065569,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.92,1259.58,300.75,0.5002404359281505,1.0003806587648747,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.49,1257.2,258.02,0.4199310488147646,0.9309379098122869,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.17,1257.48,287.77,0.5210576667432415,1.022486711382728,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.0,1243.27,312.15,0.49991927091306,0.9998537337387947,
