P_net,T_in_ref_blk,p_high,PR,pinch_PHX,dTemp_HTF_PHX,load,T_HTF_in,T_amb_input,eta_gross,eta_Q,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.17,1237.93,255.01,0.5151060437003967,1.0105289849123535,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.15,1234.12,258.44,0.5129649250394406,1.0070793987695006,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.19,1261.04,259.52,0.5240847526451499,1.0278668803640125,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.13,1222.73,271.83,0.5079365357734525,0.9988076530603368,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.1,1243.2,311.76,0.5054469454705655,1.0087813514610875,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.98,1262.22,321.57,0.5056101131793662,1.0090405153592674,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.66,1221.54,285.42,0.46741439479390795,0.9895338024889605,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.64,1236.69,263.13,0.4696439381046404,0.9901550071770944,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.23,1255.97,296.88,0.5151989219192713,1.0267694857808496,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.0,1248.39,267.5,0.5104568561164283,1.0029846216209293,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.99,1215.37,318.1,0.48871305823579175,0.9830046570536236,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.79,1262.74,257.61,0.4972911491593531,0.9828653946588072,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.08,1233.19,292.7,0.5050673802768918,1.0012641859428273,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.74,1219.78,319.64,0.4685570322303198,0.975878618918286,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.57,1259.25,255.52,0.45877125231325266,0.9756688204162263,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.56,1221.19,322.85,0.42251991438023895,0.9414135183957303,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.85,1218.51,275.58,0.4882769244049371,0.9761554477724648,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.48,1260.12,267.21,0.41597289208799676,0.9287204591551412,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.6,1216.33,317.78,0.4356853732679599,0.9559463768667831,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.72,1254.64,275.31,0.48589786261899204,0.9741074228752775,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.54,1229.19,271.57,0.4276707782626172,0.9368882273449674,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,1.01,1256.93,253.15,0.5141577664788225,1.0090075499715936,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.68,1229.86,312.59,0.4640032680471204,0.9801791684509766,
20000000.0,1243.27,22707266.48,2.98,23.67,238.45,0.57,1232.08,266.64,0.44273902258268233,0.9535328624505771,
