P_net,T_in_ref_blk,p_high,PR,pinch_PHX,dTemp_HTF_PHX,load,T_HTF_in,T_amb_input,eta_gross,eta_Q,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.670807,991.210732,322.969127,0.394480,0.606690,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.798806,963.203323,255.550751,0.490411,0.690376,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.606121,953.555709,293.587482,0.445687,0.496477,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.851117,974.017707,306.212696,0.477338,0.778325,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.205972,1004.745344,301.182433,0.517398,0.961280,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.647268,957.499896,286.726769,0.457781,0.542304,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.475068,988.744734,321.742547,0.360323,0.467270,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.867168,979.041009,298.711198,0.503719,0.813468,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.812352,954.393894,299.489391,0.482774,0.669100,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.213506,969.670141,289.282740,0.512943,0.929256,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.477356,989.751371,304.223856,0.506419,0.909535,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.501937,1000.596457,319.206272,0.387076,0.518438,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.888161,970.089136,295.155176,0.502007,0.797944,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.702329,998.152757,259.109076,0.496325,0.719352,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.763325,959.739461,290.830031,0.482382,0.647605,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.835665,987.840181,304.937896,0.486748,0.817244,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.993680,972.602357,302.474702,0.496307,0.903943,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.971263,987.969176,286.997392,0.513944,0.951490,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.492416,958.507543,275.316184,0.414051,0.414999,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.916471,1010.668432,279.454164,0.517610,0.946134,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.353399,962.040646,254.608819,0.512450,0.928489,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.109630,989.146480,264.063367,0.519514,0.947589,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.964766,981.037026,259.759672,0.512693,0.912606,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.757429,996.270778,319.805419,0.417752,0.659110,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.857506,993.053494,273.110680,0.511910,0.859445,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.823252,983.296862,262.791527,0.503463,0.788229,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.135105,1008.721998,307.875379,0.496345,0.856071,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.448284,943.281387,294.033032,0.505618,0.921097,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.665258,991.811308,303.948763,0.475801,0.661350,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.635866,978.370507,278.601447,0.470165,0.594936,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.180580,1012.683739,296.667155,0.526803,0.947128,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.829492,985.276903,317.797511,0.429102,0.685511,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.950016,956.234120,267.149502,0.499772,0.792018,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.489778,977.127904,268.794337,0.432249,0.452944,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.923077,947.799455,260.423650,0.492109,0.736788,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.943073,944.023372,256.778683,0.490221,0.734066,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.640069,986.179216,322.115677,0.389354,0.610358,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.928307,945.348213,263.309687,0.491312,0.729965,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.602766,954.263219,268.531105,0.445099,0.496120,
111111111.111111,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.419698,984.668964,271.852328,0.521301,0.938948,
