index,epy (MWh/year),capf (%),lcoe ($/MWh),srev ($)
0,122.287062721,27.9194207125,217.694517422,5842.74130272
1,131.143759263,29.9414975487,204.813713444,6273.05018005
2,139.416225077,31.8301883738,194.373772052,6646.46122089
3,146.434331304,33.4324957316,186.688972004,6970.79999335
4,153.037043567,34.9399642848,180.194881959,7247.91576118
5,159.129149836,36.3308561269,174.797070515,7481.09531026
6,164.813406034,37.6286315147,170.217503076,7691.73996921
7,169.860035206,38.7808299557,166.56621811,7876.81785884
8,175.21030359,40.0023524178,162.842939665,8069.55074859
9,179.750411861,41.0389068176,160.058482326,8222.09095935
10,184.176783723,42.0494940007,157.508426183,8362.62906609
11,167.414749666,25.4816970572,176.873392618,8026.71624936
12,174.886164916,26.6188987696,171.365417028,8478.00450536
13,181.791279629,27.6699055752,166.826849345,8728.65578523
14,188.414639358,28.6780272995,162.863630763,8994.52245087
15,194.063296356,29.5377924438,159.969034193,9234.0490636
16,198.585225623,30.2260617387,158.130313207,9421.19525307
17,202.635100396,30.8424810345,156.737750269,9592.78863544
18,205.613557075,31.2958229947,156.209522632,9692.30368412
19,208.998821792,31.8110839866,155.393323056,9819.628782
20,210.966160763,32.1105267523,155.642246842,9876.40926866
21,212.731613579,32.3792410319,156.034510085,9931.80360123
22,195.717986649,22.3422359189,166.572357235,9519.24940773
23,201.752639182,23.0311231943,163.957413252,9849.90606997
24,206.291636496,23.5492735726,162.665224119,10104.608357
25,209.91377519,23.9627597248,162.133760404,10215.7112452
26,212.229345541,24.2270942398,162.615325848,10395.0813603
27,214.048339818,24.4347419883,163.464844703,10400.5299809
28,214.373529849,24.471864138,165.444927365,10390.0868369
29,214.347576779,24.4689014588,167.693276791,10375.4406282
30,214.324739419,24.4662944542,169.939700236,10374.8766013
31,214.304909064,24.464030715,172.184186441,10373.6367866
32,214.282351063,24.4614556008,174.43130841,10446.3768519
33,210.196244018,19.1960040199,169.323663215,10395.7076097
34,213.607464563,19.5075310103,169.414683914,10612.7229644
35,214.316303487,19.5722651586,171.640157802,10759.1222401
36,214.343818824,19.5747779748,174.403569996,10684.5299479
37,214.325595408,19.5731137359,177.204081466,10687.805162
38,214.277872705,19.5687554982,180.029850219,10773.5139924
39,214.264924843,19.567573045,182.827200563,10731.3883751
40,214.235714443,19.5649054286,185.638979713,10732.5201328
41,214.194944762,19.5611821701,188.46169573,10738.7382863
42,214.165416414,19.5584855172,191.275446112,10758.893962
43,214.117395052,19.5541000048,194.106735772,10764.518442
