index,P_rate,t_storage
0,50000,2
1,50000,3
2,50000,4
3,50000,5
4,50000,6
5,50000,7
6,50000,8
7,50000,9
8,50000,10
9,50000,11
10,50000,12
11,75000,2
12,75000,3
13,75000,4
14,75000,5
15,75000,6
16,75000,7
17,75000,8
18,75000,9
19,75000,10
20,75000,11
21,75000,12
22,100000,2
23,100000,3
24,100000,4
25,100000,5
26,100000,6
27,100000,7
28,100000,8
29,100000,9
30,100000,10
31,100000,11
32,100000,12
33,125000,2
34,125000,3
35,125000,4
36,125000,5
37,125000,6
38,125000,7
39,125000,8
40,125000,9
41,125000,10
42,125000,11
43,125000,12
