index,t_storage,epy (MWh/year),capf (%),lcoe ($/MWh),srev ($)
0,3,296.772769952,33.8781700859,102.944752463,14179.9189196
1,4,312.814337373,35.7093992435,99.1924924177,14822.5643166
2,5,326.439495788,37.2647826241,96.5154910547,15420.7594439
3,6,337.169701627,38.4896919666,94.8605480528,15823.0137249
4,7,345.798994181,39.4747710252,93.8745851695,16098.8460479
5,8,352.3045234,40.2174113471,93.4968738419,16399.7546537
6,9,357.353624123,40.7937927081,93.5124307411,16552.8459319
7,10,361.153496829,41.2275681311,93.851065464,16693.9578794
8,11,364.052250651,41.5584761017,94.4157737235,16787.5097352
9,12,365.093510568,41.677341389,95.4547488788,16817.9083431
10,13,365.755832098,41.7529488697,96.5877799226,16836.8361462
11,14,365.979890115,41.7785262689,97.8337313899,16818.1090346
12,15,366.351123225,41.8209044777,99.038355313,16802.5160545
