P_net,T_in_ref_blk,p_high,PR,pinch_PHX,dTemp_HTF_PHX,load,T_HTF_in,T_amb_input,eta_gross,eta_Q,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.771481,1010.282001,291.963904,0.493541,0.828858,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.664054,970.753680,291.437722,0.474311,0.594619,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.986088,965.098905,266.202727,0.487873,0.860700,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.186405,986.214128,264.001715,0.484261,1.150920,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.369056,953.936726,289.998722,0.478947,1.127557,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.321618,968.895112,256.853498,0.480531,1.178824,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.517457,950.661671,279.996348,0.433652,0.418742,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.861852,987.086893,318.902567,0.437037,0.834734,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.474804,972.958421,301.527617,0.481536,1.129299,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.055629,980.156513,274.029871,0.487652,0.993868,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.991619,986.594933,268.584775,0.489464,0.962188,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.469625,982.349583,253.714347,0.491789,1.161703,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.458628,972.010207,281.791826,0.434171,0.415541,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.238488,991.973341,269.290049,0.486770,1.180508,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.571446,996.048087,309.694918,0.445322,0.578731,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.348466,973.334735,301.129195,0.478163,1.134078,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.200214,976.948238,267.339152,0.483411,1.116353,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.778977,1007.117783,257.205887,0.494151,0.826909,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.828682,999.412930,322.643833,0.429493,0.793904,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.418984,951.806272,290.437466,0.477538,1.155734,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.739811,968.191921,280.379891,0.482112,0.654477,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.339107,945.243134,318.452187,0.443451,0.847843,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.258821,962.892592,294.311053,0.479957,1.088717,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.736553,994.978473,315.253119,0.445650,0.742764,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.927068,970.057435,289.296431,0.489544,0.827181,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.563105,959.445208,285.572861,0.448425,0.477709,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.672322,1001.251288,260.471340,0.488075,0.695417,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.436869,949.770916,271.322299,0.478224,1.157235,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.326531,955.410532,311.143076,0.464547,0.952268,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.216229,990.270470,323.131963,0.445151,0.810028,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.303930,978.983604,300.087969,0.477749,1.155777,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.863384,965.731679,299.223582,0.484713,0.753573,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.221698,970.625430,316.798053,0.455166,0.877910,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.844849,991.469090,293.305324,0.491123,0.837733,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.144160,981.532220,308.839026,0.471938,0.993676,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.803995,998.166244,259.950904,0.492978,0.821295,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.273212,952.227204,281.455259,0.480965,1.038889,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.954786,1007.921096,272.487728,0.489991,1.018782,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.150184,1008.029113,280.869809,0.488492,1.180826,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.117794,958.507042,277.158171,0.485881,0.944454,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.229499,944.577143,298.518476,0.477284,0.963490,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.790987,977.811880,317.123054,0.438209,0.736471,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.172203,994.810738,308.148793,0.479363,1.012440,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.637329,971.352574,273.658940,0.469320,0.572690,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.075342,1011.750226,284.602433,0.486242,1.167686,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.279248,996.920040,275.962049,0.491495,1.161861,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.507584,1009.724617,274.622031,0.467135,0.543701,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.526184,961.811071,253.206100,0.442852,0.451801,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.712854,1002.729400,306.658152,0.469465,0.743018,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.285356,1011.542666,305.197414,0.495108,1.031928,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.936326,978.205953,263.587319,0.490247,0.869985,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.489296,960.043620,314.029802,0.398103,0.417850,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.414767,1006.721365,302.091361,0.496901,1.099945,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.836710,998.921332,309.560108,0.466332,0.857464,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.463708,967.681754,320.524352,0.449161,0.836426,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.817532,972.351430,313.503235,0.449154,0.738946,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.495680,979.993778,307.621847,0.433468,0.467869,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.095590,993.684648,308.651858,0.474499,0.999887,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.811428,946.709575,320.940782,0.416074,0.640790,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.016663,995.471194,277.720567,0.488352,1.027682,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.628149,975.715769,294.205723,0.471584,0.576905,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.424043,1010.415423,296.833264,0.498920,1.151506,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.783243,989.018445,310.503892,0.460292,0.768934,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.851651,957.646344,310.824556,0.453177,0.717802,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.585154,1003.386593,319.798737,0.419995,0.611198,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.890374,953.739408,284.331224,0.486128,0.728898,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.915570,1002.030341,287.455140,0.490836,0.953833,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.529781,976.084901,283.419063,0.452540,0.491022,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.883513,956.222242,315.979239,0.439645,0.736409,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.209960,952.981109,271.955827,0.482131,0.994282,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.616926,966.471850,279.106999,0.462587,0.540342,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.086099,1001.529091,256.045561,0.486344,1.127710,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.480684,979.474638,254.701200,0.444295,0.451952,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.388011,1008.887100,262.660310,0.500035,1.149915,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.494044,950.305025,297.272378,0.468083,1.206736,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.893462,962.742672,288.061030,0.488868,0.768799,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.334276,974.564484,265.039156,0.483991,1.176844,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.684841,984.493392,278.325898,0.483537,0.656204,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.762649,983.020383,317.849417,0.435775,0.728177,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.002937,1005.260729,257.907106,0.487162,1.060440,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.025465,980.920455,292.728741,0.487130,0.968653,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.720449,946.321024,275.256220,0.467131,0.565879,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.703829,947.202614,298.308201,0.465227,0.555671,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.745236,985.766404,307.009200,0.466144,0.719844,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.033802,1008.977848,273.054677,0.487228,1.110006,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.488981,943.671282,287.076409,0.476470,1.158234,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.399486,956.202842,304.020536,0.478209,1.027466,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.500133,1012.565907,264.481861,0.467015,0.542150,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.875932,989.525132,255.940562,0.491229,0.859843,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.093011,983.527666,303.640938,0.476328,1.046232,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.140093,1003.924657,302.236999,0.487035,1.083203,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.973378,1004.551284,290.852836,0.488708,1.023602,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.620392,988.249198,295.567957,0.476705,0.605299,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.647186,976.526959,314.937090,0.431924,0.598379,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.923332,985.231022,282.293872,0.491703,0.886994,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.539631,961.253973,274.614848,0.445484,0.463031,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.402676,997.674651,271.529910,0.496578,1.146181,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.166008,967.362607,278.782292,0.483494,1.032403,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.727679,991.134099,261.654285,0.489665,0.719291,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.184234,983.807563,296.206331,0.481589,1.135369,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.311320,952.807576,304.510813,0.473819,1.015795,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.482499,945.597012,288.832831,0.476494,1.166490,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.601619,996.717168,291.296163,0.477649,0.609582,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.948156,943.305392,311.587988,0.450711,0.735045,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.794321,968.487490,299.559158,0.483507,0.703848,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.470203,993.426074,288.422375,0.448913,0.471465,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.977033,990.571396,254.100966,0.489409,0.968121,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.361598,949.563368,258.353009,0.479554,1.096028,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.066002,1006.262111,267.652700,0.486889,1.129612,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.113660,998.607603,321.645836,0.449268,0.827210,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.048541,969.395114,285.873896,0.487546,0.937497,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.442187,959.573294,296.056628,0.479900,1.152055,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.609738,963.229969,313.179670,0.425419,0.527382,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.692194,944.170675,260.935799,0.462442,0.536711,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.061761,947.534263,259.005701,0.486324,0.842136,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.476635,1010.914163,283.942570,0.460906,0.513436,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.263119,1005.027150,270.261631,0.493766,1.164727,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.596117,975.049357,316.562327,0.419276,0.547410,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.379747,973.554936,312.118395,0.473114,0.921576,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.576775,999.794106,302.708808,0.470039,0.592463,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.162154,947.839579,314.725097,0.448293,0.890882,
36666666.666667,993.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.005506,948.899023,282.766719,0.486972,0.803031,
